sub,name,band,papers,first_year,birth_year,first_reach_year,peak_year,median_year,q1_year,q3_year,mean_depth,max_depth
73,Digital Self-control,Mobile Life & Attention,122,2010,2016,2013,2024,2022,2019,2024,44.25,60
74,Location Sharing & Privacy,Mobile Life & Attention,120,2001,2001,2002,2012,2011,2007,2014,26.43,49
75,Task Switching at Work,Mobile Life & Attention,121,1992,2014,2000,2016,2018,2011,2022,34.93,57
76,Mobile Information Needs & Translation,Mobile Life & Attention,275,1983,2000,1996,2017,2015,2011,2019,28.38,60
77,Recommender Explanations & User-centric Evaluation,Recommender Systems,318,1982,2005,2004,2021,2019,2015,2023,29.78,61
78,Sequential & Session-based Recommendation,Recommender Systems,244,2009,2011,2010,2025,2022,2019,2024,26.56,49
79,Neural Session Recommendation,Recommender Systems,226,2007,2009,2009,2017,2020,2016,2022,23.05,52
80,"Diversity, Novelty & Bias in Recommendation",Recommender Systems,219,2007,2007,2008,2025,2021,2016,2024,26.32,53
81,Collaborative Filtering & Trust,Recommender Systems,211,1995,2001,1998,2009,2011,2008,2016,12.46,48
82,Knowledge-aware & LLM Recommendation,Recommender Systems,189,2007,2011,2011,2025,2023,2018,2024,24.72,54
83,Industrial Recommendation & CTR Prediction,Recommender Systems,178,2007,2016,2012,2023,2022,2019,2024,17.67,50
84,Web Search & Navigation,Recommender Systems,173,1991,1993,1992,2010,2009,2000,2015,18.6,51
85,Context-aware & Cold-start Recommendation,Recommender Systems,151,2007,2007,2008,2017,2015,2012,2019,17.34,44
86,News Recommendation & Offline Evaluation,Recommender Systems,136,2001,2013,2008,2025,2020,2017,2023,23.81,52
87,Social Tagging & Group Recommendation,Recommender Systems,411,1994,1996,1998,2018,2017,2012,2021,19.45,58
88,Co-design with Children,Children & Learning,334,1989,1996,1997,2013,2013,2007,2019,25.64,57
89,Tangibles for Learning,Children & Learning,300,1996,2005,2004,2015,2015,2011,2019,27.41,55
90,Autistic Children & Technology,Children & Learning,243,2004,2007,2006,2024,2019,2016,2024,33.03,58
91,Youth Online Safety,Children & Learning,225,1988,2014,2009,2025,2022,2018,2025,41.97,60
92,Children's Agency & Research Ethics,Children & Learning,213,2004,2006,2006,2025,2021,2015,2024,31.25,59
93,AI Literacy & K-12,Children & Learning,167,2009,2017,2011,2026,2024,2021,2025,43.9,61
94,Children's Play & Learning Environments,Children & Learning,427,1996,1996,2001,2013,2017,2013,2021,28.31,60
95,Usable Security & Phishing,"Privacy, Security & Smart Homes",141,2001,2015,2006,2025,2021,2017,2025,35.27,57
96,Smart-home Privacy,"Privacy, Security & Smart Homes",134,2002,2017,2008,2024,2022,2020,2024,43.44,58
97,Deceptive Advertising Patterns,"Privacy, Security & Smart Homes",124,2012,2019,2014,2024,2024,2021,2025,45.63,59
98,Ubicomp Privacy & Home Automation,"Privacy, Security & Smart Homes",313,1983,2003,1997,2025,2020,2015,2024,35.52,61
99,Movement & Somaesthetics,Design Research & Critical HCI,647,1990,2002,2004,2024,2022,2017,2024,38.4,62
100,Bodily Play & Spectator Experience,Design Research & Critical HCI,571,1992,1998,2001,2017,2016,2011,2020,31.27,60
101,Speculative & Critical Design,Design Research & Critical HCI,563,1981,1999,1995,2025,2019,2014,2023,35.53,60
102,Sustainable HCI,Design Research & Critical HCI,510,1998,2005,2007,2025,2018,2013,2023,37.3,61
103,Family Video Communication,Design Research & Critical HCI,429,1990,1998,2000,2010,2014,2009,2020,30.4,58
104,Memory & Reminiscence,Design Research & Critical HCI,358,1998,2001,2002,2026,2017,2011,2022,33.75,60
105,Interpretation & Critique in Design Research,Design Research & Critical HCI,340,1989,2005,2004,2019,2019,2015,2023,37.57,60
106,More-than-human Design,Design Research & Critical HCI,306,1997,2010,2005,2025,2022,2017,2025,38.45,62
107,VR Meditation & Breathing,Design Research & Critical HCI,225,2004,2014,2009,2026,2021,2017,2024,39.52,60
108,Playful Food Experiences,Design Research & Critical HCI,174,2002,2010,2009,2022,2020,2015,2023,37.12,59
109,Calendars & Scheduling,Design Research & Critical HCI,40,1986,2001,2001,2001,2012,2004,2017,26.93,57
110,Self-tracking & Reflection,Health & Wellbeing,519,1997,2007,2008,2025,2020,2015,2024,40.04,62
111,Chronic Care & Caregiving,Health & Wellbeing,336,1996,2007,2006,2025,2019,2015,2023,38.16,60
112,Behavior Sensing,Health & Wellbeing,329,2005,2010,2011,2025,2021,2018,2024,39.49,60
113,Stress & Mood Technology,Health & Wellbeing,299,2006,2011,2009,2025,2021,2018,2024,40.41,59
114,Aging & Dementia Care,Health & Wellbeing,287,1990,2010,2007,2019,2019,2016,2023,37.21,58
115,Personal Informatics Models,Health & Wellbeing,264,2002,2013,2010,2021,2021,2018,2024,42.31,60
116,Clinical Information Work,Health & Wellbeing,141,1988,2001,1997,2010,2012,2008,2020,27.45,57
117,"Sleep, ADHD & Lifelogging",Health & Wellbeing,213,2005,2011,2006,2025,2020,2015,2023,35.24,58
118,Crowdsourcing & Human Computation,"Crowds, Data & Human-AI Decisions",423,1986,2007,2007,2017,2017,2014,2020,35.21,59
119,Explainable Machine Learning,"Crowds, Data & Human-AI Decisions",415,1983,2016,1996,2025,2023,2021,2025,44.74,61
120,Data Visualization,"Crowds, Data & Human-AI Decisions",399,1991,2010,2004,2025,2021,2017,2024,36.51,61
121,Fairness & Clinical AI,"Crowds, Data & Human-AI Decisions",299,1988,2016,2009,2025,2023,2021,2025,45.43,60
122,Data Work & Infrastructure,"Crowds, Data & Human-AI Decisions",293,1982,2010,1997,2025,2021,2015,2024,38.76,61
123,Interactive Machine Learning,"Crowds, Data & Human-AI Decisions",173,1983,2014,2003,2021,2020,2015,2022,34.85,58
124,Peer & Crowd Feedback,"Crowds, Data & Human-AI Decisions",126,1986,2013,1995,2017,2017,2013,2020,33.93,58
125,Computational Notebooks,"Crowds, Data & Human-AI Decisions",159,1982,1997,1993,2021,2021,2016,2023,35.5,61
126,Social Media & Mental Health,"Work, Community & Society",689,1996,2006,2008,2025,2019,2015,2023,38.54,60
127,ICTD & Rural Communities,"Work, Community & Society",591,1997,2006,2007,2021,2019,2016,2022,38.11,61
128,Wikipedia & Open Source,"Work, Community & Society",567,1998,2001,2003,2017,2016,2012,2020,31.96,58
129,Crisis Informatics,"Work, Community & Society",534,2007,2008,2010,2025,2021,2016,2024,39.96,61
130,Gender & Algorithmic Bias,"Work, Community & Society",437,1983,2014,2012,2025,2023,2020,2025,44.31,60
131,Civic Participation,"Work, Community & Society",409,2001,2009,2009,2025,2021,2017,2024,42.46,63
132,Moderation & Online Harassment,"Work, Community & Society",340,1985,2014,2009,2025,2023,2020,2025,45.9,60
133,Gig Work & Labor,"Work, Community & Society",336,1988,2012,2010,2025,2021,2018,2024,42.52,60
134,"Gender, Intimacy & Safety","Work, Community & Society",328,2007,2014,2010,2025,2023,2020,2025,45.4,62
135,Enterprise Social Media & Crowdfunding,"Work, Community & Society",230,1990,2005,2003,2014,2013,2009,2016,27.42,54
136,"Refugees, Hackathons & Crypto","Work, Community & Society",140,1995,2016,2010,2025,2022,2018,2024,41.08,60
