sub,name,band,papers,papers_used,export_share_median,export_share_mean,import_share_early,median_cited_by
101,Speculative & Critical Design,Design Research & Critical HCI,221,139,0.846,0.845,0.886,53
102,Sustainable HCI,Design Research & Critical HCI,199,123,0.826,0.819,0.906,49
103,Family Video Communication,Design Research & Critical HCI,117,82,0.873,0.863,0.898,63
104,Memory & Reminiscence,Design Research & Critical HCI,153,105,0.839,0.826,0.884,50
105,Interpretation & Critique in Design Research,Design Research & Critical HCI,87,64,0.78,0.77,0.851,49
106,More-than-human Design,Design Research & Critical HCI,81,30,0.783,0.809,0.904,46
107,VR Meditation & Breathing,Design Research & Critical HCI,76,28,0.82,0.829,0.899,69
110,Self-tracking & Reflection,Health & Wellbeing,217,108,0.832,0.824,0.894,50
111,Chronic Care & Caregiving,Health & Wellbeing,159,97,0.789,0.766,0.892,46
113,Stress & Mood Technology,Health & Wellbeing,105,39,0.807,0.809,0.87,56
114,Aging & Dementia Care,Health & Wellbeing,135,76,0.842,0.828,0.907,60
115,Personal Informatics Models,Health & Wellbeing,124,69,0.786,0.78,0.884,51
116,Clinical Information Work,Health & Wellbeing,31,24,0.899,0.89,0.932,28
117,"Sleep, ADHD & Lifelogging",Health & Wellbeing,60,25,0.867,0.859,0.883,62
118,Crowdsourcing & Human Computation,"Crowds, Data & Human-AI Decisions",132,105,0.889,0.882,0.922,47
119,Explainable Machine Learning,"Crowds, Data & Human-AI Decisions",174,43,0.899,0.887,0.903,62
120,Data Visualization,"Crowds, Data & Human-AI Decisions",311,158,0.895,0.88,0.932,58
121,Fairness & Clinical AI,"Crowds, Data & Human-AI Decisions",143,22,0.829,0.828,0.862,111
122,Data Work & Infrastructure,"Crowds, Data & Human-AI Decisions",108,38,0.815,0.809,0.938,29
123,Interactive Machine Learning,"Crowds, Data & Human-AI Decisions",52,26,0.913,0.915,0.916,55
124,Peer & Crowd Feedback,"Crowds, Data & Human-AI Decisions",39,31,0.881,0.867,0.902,32
125,Computational Notebooks,"Crowds, Data & Human-AI Decisions",71,25,0.872,0.846,0.918,86
126,Social Media & Mental Health,"Work, Community & Society",255,169,0.891,0.886,0.913,69
127,ICTD & Rural Communities,"Work, Community & Society",257,159,0.8,0.797,0.916,44
128,Wikipedia & Open Source,"Work, Community & Society",170,140,0.926,0.916,0.902,46
129,Crisis Informatics,"Work, Community & Society",181,87,0.905,0.879,0.888,45
130,Gender & Algorithmic Bias,"Work, Community & Society",194,61,0.857,0.847,0.903,81
131,Civic Participation,"Work, Community & Society",179,84,0.769,0.755,0.889,50
132,Moderation & Online Harassment,"Work, Community & Society",123,34,0.875,0.854,0.895,60
133,Gig Work & Labor,"Work, Community & Society",132,63,0.85,0.841,0.939,41
134,"Gender, Intimacy & Safety","Work, Community & Society",166,51,0.753,0.762,0.835,63
135,Enterprise Social Media & Crowdfunding,"Work, Community & Society",58,53,0.93,0.918,0.915,41
136,"Refugees, Hackathons & Crypto","Work, Community & Society",55,20,0.799,0.808,0.892,55
