sub,sub_name,rank,year,venue,title,doi,in_sub_cites,in_sub_share,spc_out,cited_by,cd5,on_main_path,q1_year
7,Pen & Sketch Input,5,2003,uist,Multi-finger and whole hand gestural interaction techniques for multi-user tabletop displa,10.1145/964696.964718,29,0.07,977.6,422,-0.15,False,2005
8,Text Entry,1,2004,uist,SHARK <sup>2</sup>,10.1145/1029632.1029640,83,0.208,1668.8,414,-0.11475409836065574,False,2011
8,Text Entry,2,2003,chi,Metrics for text entry research,10.1145/642611.642632,75,0.188,1072.5,396,0.16,False,2011
8,Text Entry,3,2002,iui,Language modeling for soft keyboards,10.1145/502716.502753,68,0.17,996.4,162,-0.037037037037037035,False,2011
8,Text Entry,4,1999,chi,The design and evaluation of a high-performance soft keyboard,10.1145/302979.302983,64,0.16,1169.6,416,0.20833333333333334,False,2011
8,Text Entry,5,2003,chi,Shorthand writing on stylus keyboard,10.1145/642611.642630,54,0.135,1146.0,363,-0.13636363636363635,False,2011
9,Touch & Multi-touch Input,1,2010,chi,The generalized perceived input point model and how to double touch accuracy by extracting,10.1145/1753326.1753413,48,0.156,1593.4,256,-0.14666666666666667,False,2011
9,Touch & Multi-touch Input,2,2011,uist,TapSense,10.1145/2047196.2047279,41,0.133,1249.7,210,-0.03058103975535168,False,2011
9,Touch & Multi-touch Input,3,2009,chi,Back-of-device interaction allows creating very small touch devices,10.1145/1518701.1518995,38,0.123,1204.6,303,-0.0749063670411985,True,2011
9,Touch & Multi-touch Input,4,2007,uist,Lucid touch,10.1145/1294211.1294259,36,0.117,1134.2,280,-0.05333333333333334,True,2011
9,Touch & Multi-touch Input,5,2005,uist,Low-cost multi-touch sensing through frustrated total internal reflection,10.1145/1095034.1095054,35,0.114,1067.3,1046,-0.05384615384615385,False,2011
11,VR Haptics,1,2016,chi,Haptic Retargeting,10.1145/2858036.2858226,102,0.149,2930.7,478,0.16447368421052633,False,2018
11,VR Haptics,2,2015,uist,Impacto,10.1145/2807442.2807443,83,0.121,2461.3,237,0.21176470588235294,False,2018
11,VR Haptics,3,2017,chi,Providing Haptics to Walls &amp; Heavy Objects in Virtual Reality by Means of Electrical M,10.1145/3025453.3025600,82,0.12,2462.5,294,-0.1623931623931624,False,2018
11,VR Haptics,4,2016,uist,NormalTouch and TextureTouch,10.1145/2984511.2984526,79,0.115,2508.5,286,-0.06756756756756757,False,2018
11,VR Haptics,5,2017,uist,Grabity,10.1145/3126594.3126599,76,0.111,2310.7,258,-0.21518987341772153,False,2018
12,Deformable & Soft Displays,1,2013,uist,inFORM,10.1145/2501988.2502032,143,0.211,4307.8,625,-0.11059907834101383,False,2014
12,Deformable & Soft Displays,2,2012,chi,Shape-changing interfaces,10.1145/2207676.2207781,135,0.199,3710.2,435,-0.04460093896713615,False,2014
12,Deformable & Soft Displays,3,2013,uist,PneUI,10.1145/2501988.2502037,124,0.183,3765.1,337,-0.1504424778761062,False,2014
12,Deformable & Soft Displays,4,2013,chi,Morphees,10.1145/2470654.2470738,92,0.135,2977.9,226,-0.12534059945504086,False,2014
12,Deformable & Soft Displays,5,2007,tei,Actuation and tangible user interfaces,10.1145/1226969.1227012,65,0.096,1643.0,179,-0.007662835249042145,False,2014
13,Tangible Interaction,1,1997,chi,Tangible bits,10.1145/258549.258715,199,0.295,4461.4,3809,0.2111111111111111,False,2009
13,Tangible Interaction,2,1995,chi,Bricks,10.1145/223904.223964,88,0.131,2299.6,972,0.12244897959183673,False,2009
13,Tangible Interaction,3,2007,tei,The reacTable,10.1145/1226969.1226998,62,0.092,1623.3,606,-0.01937984496124031,False,2009
13,Tangible Interaction,4,1997,uist,The metaDESK,10.1145/263407.263551,51,0.076,1271.2,535,-0.03636363636363636,False,2009
13,Tangible Interaction,5,2007,tei,reacTIVision,10.1145/1226969.1226983,51,0.076,1310.9,430,0.14935064935064934,False,2009
14,Printed Electronics,1,2013,ubicomp,Instant inkjet circuits,10.1145/2493432.2493486,83,0.16,2887.7,333,-0.03067484662576687,False,2015
14,Printed Electronics,2,2012,uist,Midas,10.1145/2380116.2380189,69,0.133,2315.6,176,-0.012048192771084338,False,2015
14,Printed Electronics,3,2014,uist,PrintScreen,10.1145/2642918.2647413,68,0.131,2263.8,154,-0.09059233449477352,False,2015
14,Printed Electronics,4,2015,uist,Capricate,10.1145/2807442.2807503,57,0.11,1931.6,165,-0.12173913043478261,False,2015
14,Printed Electronics,5,2015,chi,iSkin,10.1145/2702123.2702391,55,0.106,1946.0,363,-0.12852664576802508,False,2015
15,Digital Fabrication,1,2010,tei,Interactive fabrication,10.1145/1935701.1935716,95,0.185,917.4,216,1.0,False,2017
15,Digital Fabrication,2,2014,uist,WirePrint,10.1145/2642918.2647359,80,0.156,2733.5,218,-0.10919540229885058,False,2017
15,Digital Fabrication,3,2013,chi,FreeD,10.1145/2470654.2481361,77,0.15,1959.7,202,0.0,False,2017
15,Digital Fabrication,4,2012,uist,Interactive construction,10.1145/2380116.2380191,67,0.131,2141.6,166,-0.11961722488038277,False,2017
15,Digital Fabrication,5,2014,chi,MixFab,10.1145/2556288.2557090,61,0.119,2025.0,170,-0.0764525993883792,False,2017
16,E-textiles & Weaving,1,2008,chi,The LilyPad Arduino,10.1145/1357054.1357123,95,0.199,2197.6,598,0.3287671232876712,False,2015
16,E-textiles & Weaving,2,2010,tei,Handcrafting textile interfaces from a kit-of-no-parts,10.1145/1935701.1935715,60,0.126,1398.6,197,0.08,False,2015
16,E-textiles & Weaving,3,2010,dis,LilyPad in the wild,10.1145/1858171.1858206,45,0.094,1093.5,270,0.07236842105263158,False,2015
16,E-textiles & Weaving,4,2011,chi,Pinstripe,10.1145/1978942.1979137,41,0.086,982.2,139,0.2857142857142857,False,2015
16,E-textiles & Weaving,5,2007,chi,Computational composites,10.1145/1240624.1240706,35,0.073,374.7,267,1.0,False,2015
17,Tactile & Thermal Feedback,1,2011,chi,Some like it hot,10.1145/1978942.1979316,36,0.105,330.3,138,1.0,False,2012
17,Tactile & Thermal Feedback,2,2010,uist,TeslaTouch,10.1145/1866029.1866074,35,0.102,955.5,643,-0.022222222222222223,False,2012
17,Tactile & Thermal Feedback,3,2010,chi,BuzzWear,10.1145/1753326.1753392,30,0.087,783.8,138,0.07692307692307693,False,2012
17,Tactile & Thermal Feedback,4,2008,chi,Investigating the effectiveness of tactile feedback for mobile touchscreens,10.1145/1357054.1357300,26,0.076,711.7,432,0.060240963855421686,False,2012
17,Tactile & Thermal Feedback,5,2002,dis,ComTouch,10.1145/778712.778755,22,0.064,537.4,274,-0.018867924528301886,False,2012
18,VR Locomotion & Presence,1,2016,chiplay,Point &amp; Teleport Locomotion Technique for Virtual Reality,10.1145/2967934.2968105,53,0.185,240.5,448,0.4883720930232558,False,2016
18,VR Locomotion & Presence,2,1995,tochi,Taking steps,10.1145/210079.210084,50,0.175,412.1,708,1.0,False,2016
18,VR Locomotion & Presence,3,2016,chi,VR-STEP,10.1145/2858036.2858084,24,0.084,692.0,141,-0.012345679012345678,False,2016
18,VR Locomotion & Presence,4,1997,uist,The omni-directional treadmill,10.1145/263407.263550,22,0.077,261.0,369,1.0,False,2016
18,VR Locomotion & Presence,5,2009,tochi,The benefits of using a walking interface to navigate virtual environments,10.1145/1502800.1502805,16,0.056,243.5,319,0.16666666666666666,False,2016
19,Physical Prototyping Toolkits,1,2001,uist,Phidgets,10.1145/502348.502388,67,0.338,1559.1,649,0.10309278350515463,False,2009
19,Physical Prototyping Toolkits,2,2006,uist,"Reflective physical prototyping through integrated design, test, and analysis",10.1145/1166253.1166300,45,0.227,1248.2,301,-0.125,False,2009
19,Physical Prototyping Toolkits,3,2009,tei,Electronics as material,10.1145/1517664.1517743,35,0.177,344.1,236,1.0,False,2009
19,Physical Prototyping Toolkits,4,2004,dis,The calder toolkit,10.1145/1013115.1013139,26,0.131,743.9,101,-0.08235294117647059,False,2009
19,Physical Prototyping Toolkits,5,2009,tei,Fritzing,10.1145/1517664.1517735,26,0.131,572.5,116,0.05555555555555555,False,2009
20,Making & Makerspaces,1,2013,chi,Democratizing technology,10.1145/2470654.2481360,55,0.362,1675.9,400,-0.07017543859649122,False,2014
20,Making & Makerspaces,2,2014,chi,Emerging sites of HCI innovation,10.1145/2556288.2557132,40,0.263,1323.1,286,-0.05309734513274336,False,2014
20,Making & Makerspaces,3,2009,chi,Learning from IKEA hacking,10.1145/1518701.1518768,23,0.151,727.1,118,0.11702127659574468,False,2014
20,Making & Makerspaces,4,2014,chi,"""now that's definitely a proper hack""",10.1145/2556288.2557221,21,0.138,636.8,62,-0.02,False,2014
20,Making & Makerspaces,5,2009,chi,Learning how,10.1145/1518701.1518908,16,0.105,193.0,121,1.0,False,2014
21,Data Physicalization & Bio-materials,1,2015,chi,Opportunities and Challenges for Data Physicalization,10.1145/2702123.2702180,71,0.222,2115.9,558,0.0,False,2017
21,Data Physicalization & Bio-materials,2,2015,chi,bioLogic,10.1145/2702123.2702611,32,0.1,1013.3,251,-0.03553299492385787,False,2017
21,Data Physicalization & Bio-materials,3,2013,chi,Evaluating the efficiency of physical visualizations,10.1145/2470654.2481359,29,0.091,773.2,225,0.01951219512195122,False,2017
21,Data Physicalization & Bio-materials,4,2014,dis,Constructive visualization,10.1145/2598510.2598566,25,0.078,480.8,179,0.1,False,2017
21,Data Physicalization & Bio-materials,5,2017,chi,Essence,10.1145/3025453.3026004,23,0.072,659.3,150,0.041666666666666664,False,2017
22,Gaze-based Interaction,1,1990,chi,What you look at is what you get: eye movement-based interaction techniques,10.1145/97243.97246,94,0.268,901.7,702,0.0,False,2012
22,Gaze-based Interaction,2,1999,chi,Manual and gaze input cascaded (MAGIC) pointing,10.1145/302979.303053,94,0.268,1309.9,672,0.15384615384615385,False,2012
22,Gaze-based Interaction,3,2000,chi,Evaluation of eye gaze interaction,10.1145/332040.332445,51,0.145,790.6,538,-0.02702702702702703,False,2012
22,Gaze-based Interaction,4,2007,chi,EyePoint,10.1145/1240624.1240692,48,0.137,1155.3,217,-0.14285714285714285,False,2012
22,Gaze-based Interaction,5,2009,chi,Fast gaze typing with an adjustable dwell time,10.1145/1518701.1518758,48,0.137,985.3,256,-0.029411764705882353,False,2012
23,Eye Tracker Quality & Gaze Estimation,1,2012,etra,Robust real-time pupil tracking in highly off-axis images,10.1145/2168556.2168585,23,0.088,385.6,272,0.5384615384615384,False,2012
23,Eye Tracker Quality & Gaze Estimation,2,2006,etra,openEyes,10.1145/1117309.1117350,16,0.062,258.4,218,-0.11764705882352941,False,2012
23,Eye Tracker Quality & Gaze Estimation,3,2010,etra,Homography normalization for robust gaze estimation in uncalibrated setups,10.1145/1743666.1743670,15,0.058,166.2,78,-0.08333333333333333,False,2012
23,Eye Tracker Quality & Gaze Estimation,4,2004,etra,Building a lightweight eyetracking headgear,10.1145/968363.968386,14,0.054,153.3,140,0.6666666666666666,False,2012
23,Eye Tracker Quality & Gaze Estimation,5,2012,etra,Eye tracker data quality,10.1145/2168556.2168563,14,0.054,81.1,360,0.17857142857142858,False,2012
24,Scanpaths & Visual Search,1,2006,etra,eyePatterns,10.1145/1117309.1117360,20,0.078,408.5,119,-0.125,False,2012
24,Scanpaths & Visual Search,2,2010,etra,"A vector-based, multidimensional scanpath similarity measure",10.1145/1743666.1743718,19,0.075,294.0,172,-0.058823529411764705,False,2012
24,Scanpaths & Visual Search,3,2002,etra,Visual attention to repeated internet images,10.1145/507072.507081,16,0.063,197.7,124,1.0,False,2012
24,Scanpaths & Visual Search,4,2010,etra,Visual scanpath representation,10.1145/1743666.1743717,16,0.063,255.5,83,0.0,False,2012
24,Scanpaths & Visual Search,5,2006,etra,An eye-tracking methodology for characterizing program comprehension processes,10.1145/1117309.1117356,13,0.051,29.4,198,1.0,False,2012
25,Pupillometry & Cognitive Load,1,2008,chi,Feasibility and pragmatics of classifying working memory load with an electroencephalograp,10.1145/1357054.1357187,19,0.078,491.1,191,-0.13333333333333333,False,2014
25,Pupillometry & Cognitive Load,2,2009,chi,Brain measurement for usability testing and adaptive interfaces,10.1145/1518701.1519035,19,0.078,549.0,105,-0.05,False,2014
25,Pupillometry & Cognitive Load,3,2013,chi,Using fNIRS brain sensing to evaluate information visualization interfaces,10.1145/2470654.2470723,19,0.078,548.9,112,-0.1,False,2014
25,Pupillometry & Cognitive Load,4,2009,uist,Using fNIRS brain sensing in realistic HCI settings,10.1145/1622176.1622207,18,0.073,504.2,114,-0.3333333333333333,False,2014
25,Pupillometry & Cognitive Load,5,2014,chi,Dynamic difficulty using brain metrics of workload,10.1145/2556288.2557230,18,0.073,498.4,141,0.0,False,2014
26,Gaze in Conversation & Groups,1,2005,icmi,A probabilistic inference of multiparty-conversation structure based on Markov-switching m,10.1145/1088463.1088497,13,0.06,189.0,103,0.14285714285714285,False,2012
26,Gaze in Conversation & Groups,2,2012,icmi,"Linking speaking and looking behavior patterns with group composition, perception, and per",10.1145/2388676.2388772,12,0.055,199.9,47,-0.13043478260869565,False,2012
26,Gaze in Conversation & Groups,3,2001,chi,Eye gaze patterns in conversations,10.1145/365024.365119,11,0.05,202.3,411,0.08108108108108109,False,2012
26,Gaze in Conversation & Groups,4,2007,icmi,Automatic inference of cross-modal nonverbal interactions in multiparty conversations,10.1145/1322192.1322237,9,0.041,106.3,79,0.0,False,2012
26,Gaze in Conversation & Groups,5,2006,icmi,Prototyping novel collaborative multimodal systems,10.1145/1180995.1181039,8,0.037,139.1,23,0.0,False,2012
27,Authentication & Passwords,1,2012,chi,Touch me once and i know it's you!,10.1145/2207676.2208544,28,0.14,677.0,489,0.2894736842105263,False,2014
27,Authentication & Passwords,2,2013,mobilehci,Patterns in the wild,10.1145/2493190.2493231,24,0.12,614.1,142,0.07272727272727272,False,2014
27,Authentication & Passwords,3,2012,chi,Increasing the security of gaze-based cued-recall graphical passwords using saliency masks,10.1145/2207676.2208712,18,0.09,189.3,106,-0.13953488372093023,False,2014
27,Authentication & Passwords,4,2013,chi,Back-of-device authentication on smartphones,10.1145/2470654.2481330,17,0.085,484.4,128,-0.13592233009708737,False,2014
27,Authentication & Passwords,5,2014,chi,"Now you see me, now you don't",10.1145/2556288.2557097,17,0.085,512.8,117,-0.17391304347826086,False,2014
28,Affect Recognition,1,2015,icmi,Video and Image based Emotion Recognition Challenges in the Wild,10.1145/2818346.2829994,27,0.15,252.1,313,-0.20833333333333334,False,2015
28,Affect Recognition,2,2014,icmi,Emotion Recognition In The Wild Challenge 2014,10.1145/2663204.2666275,24,0.133,222.2,220,-0.3333333333333333,False,2015
28,Affect Recognition,3,2013,icmi,Combining modality specific deep neural networks for emotion recognition in video,10.1145/2522848.2531745,23,0.128,207.9,386,1.0,False,2015
28,Affect Recognition,4,2013,icmi,Emotion recognition in the wild challenge 2013,10.1145/2522848.2531739,22,0.122,189.3,181,0.7777777777777778,False,2015
28,Affect Recognition,5,2014,icmi,Combining Multiple Kernel Methods on Riemannian Manifold for Emotion Recognition in the Wi,10.1145/2663204.2666274,21,0.117,203.8,204,-0.39285714285714285,False,2015
29,Multimodal Sentiment & Speaking,1,2013,ubicomp,MACH,10.1145/2493432.2493502,37,0.227,217.1,289,1.0,False,2015
29,Multimodal Sentiment & Speaking,2,2015,iui,Rhema,10.1145/2678025.2701386,30,0.184,732.7,113,-0.16326530612244897,False,2015
29,Multimodal Sentiment & Speaking,3,2015,chi,Augmenting Social Interactions,10.1145/2702123.2702314,25,0.153,677.2,99,0.024793388429752067,False,2015
29,Multimodal Sentiment & Speaking,4,2015,icmi,"Presentation Trainer, your Public Speaking Multimodal Coach",10.1145/2818346.2830603,22,0.135,565.6,92,-0.12280701754385964,False,2015
29,Multimodal Sentiment & Speaking,5,2011,icmi,"Please, tell me about yourself",10.1145/2070481.2070528,17,0.104,108.3,97,-0.1,False,2015
30,Fixation & Saccade Analysis,1,2000,etra,Identifying fixations and saccades in eye-tracking protocols,10.1145/355017.355028,41,0.268,88.2,2218,1.0,False,2018
30,Fixation & Saccade Analysis,2,2014,etra,Entropy-based statistical analysis of eye movement transitions,10.1145/2578153.2578176,6,0.039,100.1,111,0.008403361344537815,False,2018
30,Fixation & Saccade Analysis,3,2008,etra,The incomplete fixation measure,10.1145/1344471.1344500,5,0.033,18.4,97,-0.038461538461538464,False,2018
30,Fixation & Saccade Analysis,4,2010,etra,Qualitative and quantitative scoring and evaluation of the eye movement classification alg,10.1145/1743666.1743682,5,0.033,77.6,60,0.015151515151515152,False,2018
30,Fixation & Saccade Analysis,5,2018,etra,Cross-subject workload classification using pupil-related measures,10.1145/3204493.3204531,5,0.033,120.0,55,0.20833333333333334,False,2018
31,Gaze Calibration & Datasets,1,2009,chi,Motion-pointing,10.1145/1518701.1518748,15,0.107,418.5,44,0.010638297872340425,False,2012
31,Gaze Calibration & Datasets,2,2012,etra,Gaze input for mobile devices by dwell and gestures,10.1145/2168556.2168601,11,0.079,253.2,73,0.22727272727272727,False,2012
31,Gaze Calibration & Datasets,3,2012,etra,Gaze gestures or dwell-based interaction?,10.1145/2168556.2168602,9,0.064,223.0,82,0.1,False,2012
31,Gaze Calibration & Datasets,4,2004,etra,"A free-head, simple calibration, gaze tracking system that enables gaze-based interaction",10.1145/968363.968387,8,0.057,128.6,168,0.0,False,2012
31,Gaze Calibration & Datasets,5,2005,uist,ViewPointer,10.1145/1095034.1095043,8,0.057,200.1,58,-0.011235955056179775,False,2012
32,Reading & Implicit Interest,1,2012,etra,A robust realtime reading-skimming classifier,10.1145/2168556.2168575,12,0.039,55.8,77,0.6666666666666666,False,2012
32,Reading & Implicit Interest,2,2012,chi,"User see, user point",10.1145/2207676.2208591,12,0.039,234.9,200,-0.0967741935483871,False,2012
32,Reading & Implicit Interest,3,2008,recsys,"Personalized online document, image and video recommendation via commodity eye-tracking",10.1145/1454008.1454023,11,0.036,174.0,93,0.09090909090909091,False,2012
32,Reading & Implicit Interest,4,2009,iui,Behavior-driven visualization recommendation,10.1145/1502650.1502695,11,0.036,252.5,228,0.02702702702702703,False,2012
32,Reading & Implicit Interest,5,1997,tochi,Managing level of detail through peripheral degradation,10.1145/267135.267137,9,0.029,84.4,84,1.0,False,2012
33,Remote Collaboration & Telepresence,1,2000,cscw,Coordination of communication,10.1145/358916.358947,58,0.089,982.9,339,-0.17647058823529413,False,2010
33,Remote Collaboration & Telepresence,2,1992,chi,ClearBoard,10.1145/142750.142977,55,0.084,919.0,530,0.08333333333333333,False,2010
33,Remote Collaboration & Telepresence,3,2003,chi,Effects of head-mounted and scene-oriented video systems on remote collaboration on physic,10.1145/642611.642701,49,0.075,882.9,218,-0.19230769230769232,False,2010
33,Remote Collaboration & Telepresence,4,1992,chi,Using spatial cues to improve videoconferencing,10.1145/142750.143070,37,0.057,605.5,190,1.0,False,2010
33,Remote Collaboration & Telepresence,5,1991,chi,Disembodied Conduct,10.1145/108844.108859,35,0.054,663.0,304,1.0,False,2010
34,CSCW Foundations,1,1992,chi,Portholes,10.1145/142750.142982,57,0.101,1462.8,908,-0.16279069767441862,False,1994
34,CSCW Foundations,2,1992,cscw,Awareness and coordination in shared workspaces,10.1145/143457.143468,54,0.096,998.8,2508,0.13953488372093023,False,1994
34,CSCW Foundations,3,1988,cscw,Why CSCW applications fail: problems in the design and evaluationof organizational interfa,10.1145/62266.62273,39,0.069,1001.3,968,0.7272727272727273,False,1994
34,CSCW Foundations,4,1988,cscw,Patterns of contact and communication in scientific research collaboration,10.1145/62266.62267,32,0.057,888.5,586,0.5,False,1994
34,CSCW Foundations,5,1988,cscw,Design of a multi-media vehicle for social browsing,10.1145/62266.62269,30,0.053,1049.0,274,0.4444444444444444,False,1994
35,Cross-device & Large Displays,1,1997,uist,Pick-and-drop,10.1145/263407.263505,78,0.167,1918.1,607,0.05,False,2008
35,Cross-device & Large Displays,2,1999,chi,i-LAND,10.1145/302979.303010,55,0.118,1487.8,572,-0.00819672131147541,False,2008
35,Cross-device & Large Displays,3,1999,chi,Augmented surfaces,10.1145/302979.303113,51,0.109,1282.1,682,-0.06956521739130435,False,2008
35,Cross-device & Large Displays,4,2003,uist,Synchronous gestures for multiple persons and computers,10.1145/964696.964713,41,0.088,1136.2,261,-0.016129032258064516,False,2008
35,Cross-device & Large Displays,5,2001,chi,Partitioning digital worlds,10.1145/365024.365312,39,0.084,976.8,358,0.010810810810810811,True,2008
36,UI Toolkits & Automatic Generation,1,1988,uist,Building user interfaces by direct manipulation,10.1145/62402.62428,21,0.056,873.4,172,0.7391304347826086,False,1991
36,UI Toolkits & Automatic Generation,2,1989,uist,Creating graphical interactive application objects by demonstration,10.1145/73660.73672,21,0.056,829.8,124,-0.12903225806451613,False,1991
36,UI Toolkits & Automatic Generation,3,1990,uist,Druid: a system for demonstrational rapid user interface development,10.1145/97924.97943,16,0.042,444.4,57,-0.08,False,1991
36,UI Toolkits & Automatic Generation,4,1988,uist,Using active data in a UIMS,10.1145/62402.62429,15,0.04,513.8,40,0.3333333333333333,False,1991
36,UI Toolkits & Automatic Generation,5,1988,chi,A knowledge-based user interface management system,10.1145/57167.57178,14,0.037,535.3,103,1.0,False,1991
37,AR Authoring & Assembly,1,2013,uist,YouMove,10.1145/2501988.2502045,49,0.14,1339.8,314,0.004166666666666667,False,2017
37,AR Authoring & Assembly,2,2014,uist,Kitty,10.1145/2642918.2647375,27,0.077,629.6,112,0.20588235294117646,False,2017
37,AR Authoring & Assembly,3,2004,uist,DART,10.1145/1029632.1029669,25,0.072,445.0,263,0.1111111111111111,False,2017
37,AR Authoring & Assembly,4,2012,uist,3D puppetry,10.1145/2380116.2380170,25,0.072,692.2,124,0.00625,False,2017
37,AR Authoring & Assembly,5,2014,chi,Draco,10.1145/2556288.2556987,25,0.072,714.3,111,-0.05555555555555555,False,2017
38,Tabletop Collaboration,1,2004,cscw,Territoriality in collaborative tabletop workspaces,10.1145/1031607.1031655,69,0.235,1930.1,616,-0.11403508771929824,False,2009
