sub,name,band,papers,external_refs_seen,f1,f1_share,f2,f2_share,f3,f3_share,top_sources
43,Live Streaming,"Collaboration, Displays & Mixed Reality",168,128,social science,0.32,hci (journals & other venues),0.18,unclassified,0.08,4th Nordic conference on Human-computer interaction: changin (5) / Communications of the ACM (5) / Personal and Ubiquitous Computing (4) / International Journal of Human-Computer Interaction (4)
44,Meeting Capture & Reading,"Collaboration, Displays & Mixed Reality",158,68,social science,0.35,hci (journals & other venues),0.13,psychology,0.12,ACM Transactions on Information Systems (7) / Communications of the ACM (3) / The Journal of the Acoustical Society of America (3) / Human-Computer Interaction (3)
45,Distributed Cognition & Emergency Coordination,"Collaboration, Displays & Mixed Reality",97,122,hci (journals & other venues),0.2,psychology,0.16,graphics,0.13,Human-Computer Interaction (9) / International Journal of Man-Machine Studies (8) / Communications of the ACM (8) / ACM SIGGRAPH Computer Graphics (7)
46,Driver Distraction & Take-over,Automotive & Automated Driving,165,142,psychology,0.45,human factors,0.22,health/medicine,0.08,Human Factors The Journal of the Human Factors and Ergonomic (26) / Psychological Review (9) / Accident Analysis & Prevention (8) / Ergonomics (8)
47,In-Car Interfaces,Automotive & Automated Driving,140,120,psychology,0.33,other,0.12,human factors,0.09,Human Factors The Journal of the Human Factors and Ergonomic (6) / Human-Computer Interaction (5) / Proceedings (4) / Journal of Experimental Psychology Applied (4)
48,Automated Driving,Automotive & Automated Driving,128,236,psychology,0.31,human factors,0.2,other,0.11,Human Factors The Journal of the Human Factors and Ergonomic (30) / Ergonomics (13) / Human Factors and Ergonomics Society Annual Meeting (11) / Transportation Research Part F Traffic Psychology and Behavi (9)
49,Car Navigation & Driver UIs,Automotive & Automated Driving,122,129,psychology,0.37,human factors,0.11,other,0.1,Human Factors The Journal of the Human Factors and Ergonomic (14) / Accident Analysis & Prevention (6) / Journal of Experimental Psychology Applied (6) / Human-Computer Interaction (3)
50,Autonomous Vehicles & Pedestrians,Automotive & Automated Driving,482,292,psychology,0.2,hci (journals & other venues),0.13,other,0.12,Human Factors The Journal of the Human Factors and Ergonomic (10) / Personal and Ubiquitous Computing (9) / Communications of the ACM (7) / Information and Communication Technologies in Tourism 2000 (5)
51,Cognitive Modeling & Mixed Small Topics,Mixed Small Communities,672,187,psychology,0.32,hci (journals & other venues),0.26,software/systems,0.06,International Journal of Man-Machine Studies (21) / Human-Computer Interaction (14) / Psychological Review (12) / Cognitive Science (8)
52,Non-visual Navigation,Accessibility & Assistive Tech,152,178,psychology,0.12,ml/ai,0.12,other,0.11,Journal of Visual Impairment & Blindness (7) / Proceedings Fifth International Symposium on Wearable Comput (6) / Personal and Ubiquitous Computing (6) / Human Factors The Journal of the Human Factors and Ergonomic (6)
53,Accessibility Research Practice,Accessibility & Assistive Tech,152,184,psychology,0.18,other,0.12,hci (journals & other venues),0.11,Personal and Ubiquitous Computing (4) / Communications of the ACM (4) / Psychological Review (4) / Journal of Autism and Developmental Disorders (4)
54,Visual Accessibility,Accessibility & Assistive Tech,126,206,ml/ai,0.3,social science,0.16,hci (journals & other venues),0.13,International AAAI Conference on Web and Social Media (15) / International Journal of Computer Vision (7) / arXiv (Cornell University) (6) / 2015 IEEE Conference on Computer Vision and Pattern Recognit (6)
55,Disability Studies in HCI,Accessibility & Assistive Tech,551,323,ml/ai,0.13,hci (journals & other venues),0.12,social science,0.09,Human Factors The Journal of the Human Factors and Ergonomic (6) / IEEE Computer Graphics and Applications (6) / Communications of the ACM (6) / Human-Computer Interaction (5)
56,Esports & Player Communities,Games & Play,144,214,social science,0.25,hci (journals & other venues),0.18,other,0.12,Computer Supported Cooperative Work (CSCW) (18) / American Sociological Review (6) / Games and Culture (6) / Computer supported cooperative work (5)
57,Player Experience & Immersion,Games & Play,132,307,psychology,0.21,social science,0.2,hci (journals & other venues),0.19,Interacting with Computers (14) / American Psychologist (13) / MIS Quarterly (13) / interactions (8)
58,Gamification & Engagement,Games & Play,692,782,hci (journals & other venues),0.2,social science,0.15,psychology,0.14,Interacting with Computers (32) / Behaviour and Information Technology (24) / Human-Computer Interaction (21) / Human-computer interaction series (16)
59,Social Robots in the Field,"Robots, Agents & Human-AI Interaction",1732,1547,psychology,0.24,robotics/control,0.12,social science,0.12,Robotics and Autonomous Systems (47) / Human-Computer Interaction (42) / IEEE Transactions on Systems Man and Cybernetics - Part A Sy (36) / Journal of Personality and Social Psychology (33)
60,Generative AI & Writing,"Robots, Agents & Human-AI Interaction",1160,1069,psychology,0.2,social science,0.17,other,0.11,Communications of the ACM (38) / Design Studies (27) / Journal of Personality and Social Psychology (22) / Psychological Review (17)
61,Voice & Conversational Agents,"Robots, Agents & Human-AI Interaction",1098,965,social science,0.19,psychology,0.18,ml/ai,0.15,Communications of the ACM (39) / PRESENCE Virtual and Augmented Reality (29) / Journal of Personality and Social Psychology (23) / Embodied Conversational Agents (18)
62,End-user Programming & UI Design Tools,"Robots, Agents & Human-AI Interaction",619,276,social science,0.14,software/systems,0.11,hci (journals & other venues),0.1,Communications of the ACM (11) / Computer (10) / ACM SIGGRAPH Computer Graphics (7) / International Journal of Man-Machine Studies (7)
63,Robots & Agents in Education,"Robots, Agents & Human-AI Interaction",475,264,psychology,0.19,ml/ai,0.15,social science,0.11,Cognitive Science (7) / Applied Artificial Intelligence (7) / User Modeling and User-Adapted Interaction (5) / Journal of the Learning Sciences (5)
64,Video Interfaces & Editing,"Robots, Agents & Human-AI Interaction",427,149,social science,0.2,hci (journals & other venues),0.19,psychology,0.13,Human-Computer Interaction (12) / International Journal of Man-Machine Studies (10) / ACM Transactions on Information Systems (8) / CERN Document Server (European Organization for Nuclear Rese (7)
65,Meeting Support & Group Displays,"Robots, Agents & Human-AI Interaction",183,261,psychology,0.23,social science,0.22,other,0.11,Journal of Personality and Social Psychology (8) / Administrative Science Quarterly (7) / Communications of the ACM (6) / Organizational Behavior and Human Decision Processes (5)
66,Usability Methods & Personas,"Robots, Agents & Human-AI Interaction",158,83,hci (journals & other venues),0.31,psychology,0.19,social science,0.19,Human-Computer Interaction (8) / Communications of the ACM (7) / Cognitive Psychology (6) / International Conference on Human-Computer Interaction (5)
67,Multimodal Speech Interfaces,"Robots, Agents & Human-AI Interaction",122,143,ml/ai,0.2,other,0.2,social science,0.15,Communications of the ACM (15) / Intelligent User Interfaces (5) / Computer (5) / ACM SIGGRAPH Computer Graphics (4)
68,Natural Language Interfaces & Human-AI Teams,"Robots, Agents & Human-AI Interaction",316,208,ml/ai,0.22,engineering,0.13,social science,0.12,ACM Transactions on Graphics (13) / Communications of the ACM (12) / CERN Document Server (European Organization for Nuclear Rese (6) / Human-Computer Interaction (6)
69,Urban Mobility Data,Mobile Life & Attention,221,173,ml/ai,0.26,social science,0.19,hci (journals & other venues),0.12,Personal and Ubiquitous Computing (12) / Behavioral Ecology and Sociobiology (5) / Artificial Intelligence (4) / IEEE Pervasive Computing (4)
70,Email & Web Revisitation,Mobile Life & Attention,221,128,social science,0.3,hci (journals & other venues),0.11,ml/ai,0.09,Communications of the ACM (16) / ACM Transactions on Information Systems (11) / ACM SIGCHI Bulletin (6) / Computer (4)
71,Notifications & Interruptibility,Mobile Life & Attention,195,233,psychology,0.2,social science,0.18,hci (journals & other venues),0.15,Human-Computer Interaction (16) / Communications of the ACM (12) / International Conference on Human-Computer Interaction (9) / arXiv (Cornell University) (7)
72,Instant Messaging,Mobile Life & Attention,173,176,social science,0.45,hci (journals & other venues),0.15,other,0.1,Communications of the ACM (13) / Human-Computer Interaction (9) / American Sociological Review (6) / Computer Supported Cooperative Work (CSCW) (6)
73,Digital Self-control,Mobile Life & Attention,122,264,social science,0.22,hci (journals & other venues),0.17,other,0.11,Personal and Ubiquitous Computing (12) / 13th International Conference on Human Computer Interaction  (10) / New Media & Society (7) / Computers in Human Behavior (6)
74,Location Sharing & Privacy,Mobile Life & Attention,120,170,social science,0.26,hci (journals & other venues),0.11,signal/sensing,0.09,IEEE Personal Communications (6) / 6th annual international conference on Mobile computing and  (6) / ACM Transactions on Information Systems (5) / Computer (5)
75,Task Switching at Work,Mobile Life & Attention,121,180,social science,0.23,psychology,0.2,hci (journals & other venues),0.12,Human-Computer Interaction (9) / Communications of the ACM (6) / Administrative Science Quarterly (6) / Cognitive Science (6)
76,Mobile Information Needs & Translation,Mobile Life & Attention,275,140,social science,0.21,ml/ai,0.14,psychology,0.13,Human-Computer Interaction (8) / Communications of the ACM (7) / arXiv (Cornell University) (5) / Psychological Review (4)
77,Recommender Explanations & User-centric Evaluation,Recommender Systems,318,287,ml/ai,0.35,social science,0.23,cs general,0.11,Communications of the ACM (17) / ACM Transactions on Information Systems (12) / Journal of the Operational Research Society (10) / IEEE Expert (8)
78,Sequential & Session-based Recommendation,Recommender Systems,244,200,ml/ai,0.68,social science,0.11,unclassified,0.06,arXiv (Cornell University) (12) / 2008 Eighth IEEE International Conference on Data Mining (11) / ACM Transactions on Information Systems (11) / Recommender Systems Handbook (9)
79,Neural Session Recommendation,Recommender Systems,226,131,ml/ai,0.59,social science,0.15,unclassified,0.07,ACM Transactions on Information Systems (6) / arXiv (Cornell University) (6) / 10th international conference on World Wide Web (5) / Communications of the ACM (4)
80,"Diversity, Novelty & Bias in Recommendation",Recommender Systems,219,209,ml/ai,0.51,social science,0.23,unclassified,0.05,ACM Transactions on Information Systems (16) / ACM SIGIR Forum (6) / User Modeling and User-Adapted Interaction (6) / 14th international conference on World Wide Web  - WWW '05 (5)
81,Collaborative Filtering & Trust,Recommender Systems,211,119,ml/ai,0.34,social science,0.29,unclassified,0.09,Communications of the ACM (22) / 1994 ACM conference on Computer supported cooperative work   (6) / arXiv (Cornell University) (6) / Virtual Defense Library (Ministerio de Defensa) (3)
82,Knowledge-aware & LLM Recommendation,Recommender Systems,189,215,ml/ai,0.65,social science,0.1,cs general,0.07,arXiv (Cornell University) (13) / 14th ACM SIGKDD international conference on Knowledge discov (10) / User Modeling and User-Adapted Interaction (10) / Recommender Systems Handbook (8)
83,Industrial Recommendation & CTR Prediction,Recommender Systems,178,200,ml/ai,0.64,social science,0.09,unclassified,0.04,arXiv (Cornell University) (13) / Communications of the ACM (5) / 16th international conference on World Wide Web (5) / ACM Transactions on Information Systems (4)
84,Web Search & Navigation,Recommender Systems,173,114,social science,0.25,ml/ai,0.14,psychology,0.13,Communications of the ACM (12) / ACM Transactions on Information Systems (8) / International Journal of Man-Machine Studies (6) / SIGCHI conference on Human factors in computing systems  - C (4)
85,Context-aware & Cold-start Recommendation,Recommender Systems,151,236,ml/ai,0.64,social science,0.12,cs general,0.07,ACM Transactions on Information Systems (18) / 10th international conference on World Wide Web (10) / IEEE Transactions on Knowledge and Data Engineering (9) / User Modeling and User-Adapted Interaction (8)
86,News Recommendation & Offline Evaluation,Recommender Systems,136,172,ml/ai,0.63,social science,0.14,cs general,0.05,arXiv (Cornell University) (11) / ACM Transactions on Information Systems (11) / 16th international conference on World Wide Web (7) / 10th international conference on World Wide Web (6)
87,Social Tagging & Group Recommendation,Recommender Systems,411,270,ml/ai,0.28,social science,0.21,unclassified,0.1,Communications of the ACM (22) / Journal of the Operational Research Society (9) / ACM Transactions on Information Systems (7) / User Modeling and User-Adapted Interaction (6)
88,Co-design with Children,Children & Learning,334,173,hci (journals & other venues),0.17,other,0.14,social science,0.12,interactions (9) / Communications of the ACM (7) / Behaviour and Information Technology (5) / Conference companion on Human factors in computing systems   (5)
89,Tangibles for Learning,Children & Learning,300,257,other,0.16,hci (journals & other venues),0.15,social science,0.13,Personal and Ubiquitous Computing (19) / IBM Systems Journal (9) / Communications of the ACM (7) / PRESENCE Virtual and Augmented Reality (6)
90,Autistic Children & Technology,Children & Learning,243,112,psychology,0.22,health/medicine,0.12,social science,0.12,Journal of Autism and Developmental Disorders (11) / Behavior Modification (4) / IEEE Pervasive Computing (4) / Pragmatics & Cognition (3)
91,Youth Online Safety,Children & Learning,225,203,social science,0.35,other,0.16,psychology,0.1,Journal of Broadcasting & Electronic Media (11) / London School of Economics and Political Science Research On (5) / Contemporary Sociology A Journal of Reviews (4) / Communications of the ACM (4)
92,Children's Agency & Research Ethics,Children & Learning,213,97,social science,0.3,psychology,0.22,other,0.1,Behaviour and Information Technology (3) / Journal of Applied Developmental Psychology (3) / interactions (2) / Contemporary issues in technology and teacher education (2)
93,AI Literacy & K-12,Children & Learning,167,214,social science,0.16,psychology,0.14,other,0.12,Journal of the Learning Sciences (10) / Communications of the ACM (7) / IEEE Computer Graphics and Applications (3) / PRESENCE Virtual and Augmented Reality (3)
94,Children's Play & Learning Environments,Children & Learning,427,219,psychology,0.13,other,0.11,social science,0.11,Communications of the ACM (7) / interactions (6) / Personal and Ubiquitous Computing (5) / Educational Psychologist (4)
95,Usable Security & Phishing,"Privacy, Security & Smart Homes",141,154,social science,0.27,software/systems,0.23,other,0.12,second symposium on Usable privacy and security  - SOUPS '06 (8) / 2005 symposium on Usable privacy and security  - SOUPS '05 (7) / Communications of the ACM (7) / CHI '02 Extended Abstracts on Human Factors in Computing Sys (5)
96,Smart-home Privacy,"Privacy, Security & Smart Homes",134,171,social science,0.33,hci (journals & other venues),0.13,other,0.11,MIS Quarterly (7) / Communications of the ACM (6) / IEEE Pervasive Computing (6) / Personal and Ubiquitous Computing (4)
97,Deceptive Advertising Patterns,"Privacy, Security & Smart Homes",124,257,social science,0.23,other,0.16,psychology,0.1,19th international conference on World wide web (5) / Computers in Human Behavior (5) / 4th International Conference on Persuasive Technology (5) / Proceedings on Privacy Enhancing Technologies (5)
98,Ubicomp Privacy & Home Automation,"Privacy, Security & Smart Homes",313,187,social science,0.2,hci (journals & other venues),0.16,other,0.13,Communications of the ACM (10) / Personal and Ubiquitous Computing (5) / International Journal of Man-Machine Studies (4) / Third European Conference on Computer-Supported Cooperative  (4)
99,Movement & Somaesthetics,Design Research & Critical HCI,647,577,other,0.18,hci (journals & other venues),0.13,social science,0.12,Personal and Ubiquitous Computing (18) / interactions (16) / Communications of the ACM (14) / DARE 2000 on Designing augmented reality environments (8)
100,Bodily Play & Spectator Experience,Design Research & Critical HCI,571,359,hci (journals & other venues),0.19,other,0.17,social science,0.16,Communications of the ACM (20) / Personal and Ubiquitous Computing (12) / Symbolic Interaction (9) / Human-Computer Interaction (8)
101,Speculative & Critical Design,Design Research & Critical HCI,563,543,social science,0.2,hci (journals & other venues),0.17,design,0.13,Communications of the ACM (36) / Human-Computer Interaction (25) / interactions (18) / Computer Supported Cooperative Work (CSCW) (14)
102,Sustainable HCI,Design Research & Critical HCI,510,542,other,0.19,social science,0.16,hci (journals & other venues),0.12,interactions (15) / IEEE Pervasive Computing (14) / CHI '05 Extended Abstracts on Human Factors in Computing Sys (12) / CHI '07 Extended Abstracts on Human Factors in Computing Sys (9)
103,Family Video Communication,Design Research & Critical HCI,429,348,social science,0.21,hci (journals & other venues),0.14,unclassified,0.1,Communications of the ACM (26) / Human-Computer Interaction (13) / Personal and Ubiquitous Computing (7) / interactions (6)
104,Memory & Reminiscence,Design Research & Critical HCI,358,227,social science,0.18,hci (journals & other venues),0.16,other,0.15,Communications of the ACM (6) / interactions (6) / 2000 IEEE Conference on Information Visualization. An Intern (6) / Computer Supported Cooperative Work (CSCW) (6)
105,Interpretation & Critique in Design Research,Design Research & Critical HCI,340,396,other,0.17,hci (journals & other venues),0.16,social science,0.11,Personal and Ubiquitous Computing (15) / interactions (14) / Human-Computer Interaction (8) / CHI '03 extended abstracts on Human factors in computing sys (8)
106,More-than-human Design,Design Research & Critical HCI,306,104,other,0.18,social science,0.18,hci (journals & other venues),0.16,Computer Supported Cooperative Work (CSCW) (4) / CHI 98 Conference Summary on Human Factors in Computing Syst (3) / Personal and Ubiquitous Computing (3) / CHI '10 Extended Abstracts on Human Factors in Computing Sys (3)
107,VR Meditation & Breathing,Design Research & Critical HCI,225,197,psychology,0.18,other,0.17,social science,0.15,American Psychologist (9) / Personal and Ubiquitous Computing (6) / Applied Psychophysiology and Biofeedback (6) / CHI '02 Extended Abstracts on Human Factors in Computing Sys (4)
108,Playful Food Experiences,Design Research & Critical HCI,174,97,other,0.2,psychology,0.15,hci (journals & other venues),0.11,Personal and Ubiquitous Computing (4) / CHI '07 Extended Abstracts on Human Factors in Computing Sys (3) / 13th annual ACM international conference on Multimedia (3) / Gastronomica The Journal of Food and Culture (2)
