sub,name,band,papers,papers_used,export_share_median,export_share_mean,import_share_early,median_cited_by
34,Location Sharing & Privacy,"Privacy, Security & Smart Homes",134,104,0.854,0.829,0.82,37
35,Task Switching at Work,Mobile Life & Attention,201,141,0.793,0.765,0.755,36
36,Notifications & Interruptibility,Mobile Life & Attention,183,123,0.737,0.722,0.792,54
37,Social Network Sites at Work,Mobile Life & Attention,156,133,0.857,0.819,0.892,31
38,Instant Messaging,Mobile Life & Attention,144,117,0.818,0.757,0.823,29
39,Digital Self-control,Mobile Life & Attention,130,48,0.646,0.643,0.743,75
40,Smartphone Usage Logging,Mobile Life & Attention,120,105,0.867,0.832,0.804,32
41,Email & Peripheral Displays,Mobile Life & Attention,331,251,0.857,0.827,0.911,34
42,Older Adults & Technology,"Ageing, Care & Automation",208,99,0.722,0.706,0.855,36
43,Automated Driving,"Ageing, Care & Automation",136,68,0.868,0.857,0.933,33
44,Dementia & Ageing Care,"Ageing, Care & Automation",134,60,0.592,0.622,0.859,46
45,Autonomous Vehicle Communication,"Ageing, Care & Automation",291,183,0.929,0.911,0.923,23
46,Memory & Reminiscence,Sustainability & Everyday Living,319,234,0.667,0.662,0.811,30
47,Sustainable HCI,Sustainability & Everyday Living,293,196,0.733,0.721,0.867,45
48,Multispecies & Urban Nature,Sustainability & Everyday Living,192,56,0.67,0.648,0.803,32
49,Bio-materials & Sustainable Making,Sustainability & Everyday Living,167,35,0.632,0.597,0.82,34
50,Playful Food Experiences,Sustainability & Everyday Living,144,73,0.623,0.621,0.855,37
51,"Materials, Death & Legacy",Sustainability & Everyday Living,267,156,0.64,0.649,0.832,29
52,Explainable Machine Learning,"AI, Data & Intelligent Interfaces",1000,243,0.784,0.76,0.814,56
53,Generative AI & Writing,"AI, Data & Intelligent Interfaces",994,221,0.714,0.712,0.878,33
54,Voice & Conversational Agents,"AI, Data & Intelligent Interfaces",759,285,0.819,0.803,0.918,53
55,GUI Toolkits & Web Interfaces,"AI, Data & Intelligent Interfaces",752,545,0.867,0.823,0.892,31
56,Data Visualization,"AI, Data & Intelligent Interfaces",416,204,0.842,0.822,0.878,59
57,Search & Recommendation,"AI, Data & Intelligent Interfaces",395,294,0.91,0.878,0.838,42
58,Video Interfaces & Editing,"AI, Data & Intelligent Interfaces",372,263,0.778,0.722,0.86,33
59,Programming & Notebooks,"AI, Data & Intelligent Interfaces",360,149,0.779,0.752,0.918,40
60,Prototyping & Authoring Tools,"AI, Data & Intelligent Interfaces",292,147,0.815,0.76,0.867,33
61,Meeting Capture & Reading,"AI, Data & Intelligent Interfaces",253,192,0.827,0.789,0.867,34
62,Usability Methods & Personas,"AI, Data & Intelligent Interfaces",195,124,0.913,0.895,0.89,47
63,Clinical Information Work,"AI, Data & Intelligent Interfaces",251,187,0.842,0.813,0.885,28
64,Gamification & Engagement,Games & Play,457,272,0.762,0.753,0.921,31
65,Movement & Somaesthetics,Games & Play,340,125,0.652,0.62,0.819,33
66,Exergames & Bodily Play,Games & Play,257,157,0.667,0.662,0.845,35
67,Esports & Player Communities,Games & Play,245,119,0.735,0.717,0.81,36
68,Location-based Museum Play,Games & Play,158,123,0.848,0.8,0.866,24
69,VR Meditation & Breathing,Games & Play,155,73,0.651,0.648,0.834,48
70,Brain-Computer Interfaces,Games & Play,123,79,0.837,0.824,0.943,28
71,Rehabilitation Games,Games & Play,120,70,0.723,0.714,0.864,26
72,Playful Experience & Drones,Games & Play,335,186,0.787,0.771,0.882,32
73,Visual Accessibility,Accessibility & Assistive Tech,399,168,0.649,0.648,0.83,31
74,Neurodivergence & Autism,Accessibility & Assistive Tech,378,169,0.714,0.703,0.868,31
75,Web Accessibility,Accessibility & Assistive Tech,319,199,0.828,0.803,0.837,29
76,Deaf & Sign Language Tech,Accessibility & Assistive Tech,311,136,0.667,0.674,0.895,23
77,Non-visual Navigation,Accessibility & Assistive Tech,286,158,0.746,0.727,0.889,30
78,Tactile Graphics,Accessibility & Assistive Tech,235,122,0.693,0.679,0.888,26
79,Blind & Low-vision Access,Accessibility & Assistive Tech,232,121,0.686,0.675,0.884,26
80,DIY Assistive Technology,Accessibility & Assistive Tech,153,66,0.596,0.617,0.834,29
81,Accessible Games & VR,Accessibility & Assistive Tech,143,61,0.719,0.73,0.824,28
82,AAC & Communication Disabilities,Accessibility & Assistive Tech,223,134,0.771,0.747,0.9,20
83,Real-time Groupware,Remote & Mixed-Reality Collaboration,285,252,0.904,0.88,0.954,49
84,Gaze in Video Communication,Remote & Mixed-Reality Collaboration,254,181,0.801,0.785,0.798,44
85,Family Video Communication,Remote & Mixed-Reality Collaboration,253,154,0.66,0.657,0.795,44
86,Augmented Reality Collaboration,Remote & Mixed-Reality Collaboration,231,88,0.757,0.742,0.785,61
87,Public & Ambient Displays,Remote & Mixed-Reality Collaboration,222,168,0.778,0.769,0.72,28
88,Distributed Team Awareness,Remote & Mixed-Reality Collaboration,215,179,0.87,0.844,0.845,37
89,Social VR & Presence,Remote & Mixed-Reality Collaboration,184,41,0.78,0.746,0.887,78
90,Tabletop Collaboration,Remote & Mixed-Reality Collaboration,152,121,0.818,0.799,0.706,36
91,Surgical AR & Video Guidance,Remote & Mixed-Reality Collaboration,154,87,0.833,0.795,0.879,34
92,RF & Radar Sensing,Activity Sensing & Recognition,235,70,0.879,0.868,0.893,82
93,Wearable Activity Recognition,Activity Sensing & Recognition,212,93,0.894,0.871,0.92,50
94,Indoor Localization,Activity Sensing & Recognition,170,129,0.914,0.89,0.86,31
95,Urban Mobility Data,Activity Sensing & Recognition,161,118,0.915,0.889,0.893,32
96,Acoustic Health Sensing,Activity Sensing & Recognition,244,74,0.824,0.812,0.919,39
97,Tangible Interaction,"Tangible, VR & Fabrication",884,626,0.785,0.749,0.765,27
98,VR Haptics,"Tangible, VR & Fabrication",755,342,0.706,0.704,0.816,48
99,Deformable & Soft Displays,"Tangible, VR & Fabrication",386,212,0.581,0.584,0.698,31
100,Digital Fabrication,"Tangible, VR & Fabrication",378,175,0.489,0.485,0.707,43
101,E-textiles & Weaving,"Tangible, VR & Fabrication",355,139,0.483,0.524,0.848,29
102,Printed Electronics,"Tangible, VR & Fabrication",318,184,0.5,0.531,0.709,30
103,Data Physicalization,"Tangible, VR & Fabrication",123,51,0.647,0.637,0.779,31
104,Electrical Muscle Stimulation,"Tangible, VR & Fabrication",258,128,0.755,0.729,0.906,29
105,Hand Input & Gesture Sensing,Input & Interaction Techniques,880,474,0.647,0.657,0.756,40
106,Touch & Multi-touch Input,Input & Interaction Techniques,536,433,0.7,0.69,0.757,37
107,Pointing & Target Selection,Input & Interaction Techniques,421,272,0.705,0.698,0.834,39
108,Gaze & Eye Tracking,Input & Interaction Techniques,415,233,0.842,0.805,0.835,51
109,Text Entry,Input & Interaction Techniques,392,261,0.704,0.696,0.863,37
110,Fisheye & Scrolling Techniques,Input & Interaction Techniques,314,277,0.908,0.875,0.867,50
111,Cross-device & Large Displays,Input & Interaction Techniques,280,224,0.771,0.746,0.722,41
112,Gesture Elicitation & Recognition,Input & Interaction Techniques,249,162,0.761,0.748,0.806,34
113,Mixed Reality Systems,Input & Interaction Techniques,229,90,0.813,0.793,0.806,56
114,Menus & Command Selection,Input & Interaction Techniques,188,158,0.766,0.745,0.866,35
115,Multimodal Speech Input,Input & Interaction Techniques,66,48,0.875,0.855,0.876,36
