sub,name,band,papers,q1_year,early_papers,in_corpus_refs,external_refs,self_share,parent1,p1_share,parent2,p2_share,parent3,p3_share
38,Instant Messaging,Mobile Life & Attention,144,2002,20,64,298,0.281,Distributed Team Awareness,0.25,Real-time Groupware,0.062,Email & Peripheral Displays,0.047
39,Digital Self-control,Mobile Life & Attention,130,2016,20,175,505,0.189,Task Switching at Work,0.103,Social Network Sites at Work,0.086,Smartphone Usage Logging,0.04
40,Smartphone Usage Logging,Mobile Life & Attention,120,2010,20,68,279,0.265,Email & Peripheral Displays,0.074,Notifications & Interruptibility,0.059,Fisheye & Scrolling Techniques,0.059
41,Email & Peripheral Displays,Mobile Life & Attention,331,1998,33,43,441,0.442,Real-time Groupware,0.163,CSCW Foundations,0.14,Distributed Team Awareness,0.047
42,Older Adults & Technology,"Ageing, Care & Automation",208,2010,20,53,312,0.17,Email & Peripheral Displays,0.113,Family Video Communication,0.094,Speculative & Critical Design,0.094
43,Automated Driving,"Ageing, Care & Automation",136,2014,20,29,402,0.448,Autonomous Vehicle Communication,0.207,Touch & Multi-touch Input,0.103,Meeting Capture & Reading,0.034
44,Dementia & Ageing Care,"Ageing, Care & Automation",134,2014,20,56,340,0.321,Chronic Care & Caregiving,0.107,Older Adults & Technology,0.107,Memory & Reminiscence,0.071
45,Autonomous Vehicle Communication,"Ageing, Care & Automation",291,1986,29,16,191,0.812,Usability Methods & Personas,0.125,Text Entry,0.062,,
46,Memory & Reminiscence,Sustainability & Everyday Living,319,2006,31,100,429,0.49,Email & Peripheral Displays,0.09,Instant Messaging,0.05,Speculative & Critical Design,0.05
47,Sustainable HCI,Sustainability & Everyday Living,293,2010,29,107,698,0.458,Speculative & Critical Design,0.112,Smart Home Automation,0.093,Persuasive Health & Activity,0.065
48,Multispecies & Urban Nature,Sustainability & Everyday Living,192,2014,20,59,241,0.186,Sustainable HCI,0.288,Memory & Reminiscence,0.085,Tangible Interaction,0.068
49,Bio-materials & Sustainable Making,Sustainability & Everyday Living,167,2015,20,53,242,0.151,Tangible Interaction,0.151,Sustainable HCI,0.132,Memory & Reminiscence,0.094
50,Playful Food Experiences,Sustainability & Everyday Living,144,2013,20,53,313,0.245,Tangible Interaction,0.094,Persuasive Health & Activity,0.094,"Materials, Death & Legacy",0.075
51,"Materials, Death & Legacy",Sustainability & Everyday Living,267,2010,26,59,292,0.288,Tangible Interaction,0.119,Deformable & Soft Displays,0.085,Speculative & Critical Design,0.085
52,Explainable Machine Learning,"AI, Data & Intelligent Interfaces",1000,2016,100,425,1858,0.454,GUI Toolkits & Web Interfaces,0.056,Search & Recommendation,0.045,Programming & Notebooks,0.04
53,Generative AI & Writing,"AI, Data & Intelligent Interfaces",994,2014,99,318,2288,0.173,GUI Toolkits & Web Interfaces,0.082,Tangible Interaction,0.06,Prototyping & Authoring Tools,0.053
54,Voice & Conversational Agents,"AI, Data & Intelligent Interfaces",759,2008,75,124,1390,0.685,Tangible Interaction,0.048,GUI Toolkits & Web Interfaces,0.04,Gaze in Video Communication,0.04
55,GUI Toolkits & Web Interfaces,"AI, Data & Intelligent Interfaces",752,1990,75,104,856,0.894,Programming & Notebooks,0.038,Usability Methods & Personas,0.019,Playful Experience & Drones,0.019
56,Data Visualization,"AI, Data & Intelligent Interfaces",416,2012,41,117,845,0.308,Fisheye & Scrolling Techniques,0.205,GUI Toolkits & Web Interfaces,0.137,Meeting Capture & Reading,0.06
57,Search & Recommendation,"AI, Data & Intelligent Interfaces",395,1998,39,99,514,0.586,Fisheye & Scrolling Techniques,0.121,Clinical Information Work,0.04,Distributed Team Awareness,0.04
58,Video Interfaces & Editing,"AI, Data & Intelligent Interfaces",372,1997,37,71,436,0.521,GUI Toolkits & Web Interfaces,0.183,Usability Methods & Personas,0.07,Real-time Groupware,0.056
59,Programming & Notebooks,"AI, Data & Intelligent Interfaces",360,2007,36,56,627,0.5,GUI Toolkits & Web Interfaces,0.179,Cross-device & Large Displays,0.054,Email & Peripheral Displays,0.054
60,Prototyping & Authoring Tools,"AI, Data & Intelligent Interfaces",292,1997,29,61,396,0.361,GUI Toolkits & Web Interfaces,0.262,Meeting Capture & Reading,0.115,Menus & Command Selection,0.049
61,Meeting Capture & Reading,"AI, Data & Intelligent Interfaces",253,1994,25,45,294,0.422,Real-time Groupware,0.178,GUI Toolkits & Web Interfaces,0.044,Fisheye & Scrolling Techniques,0.044
62,Usability Methods & Personas,"AI, Data & Intelligent Interfaces",195,1990,20,19,153,0.895,Email & Peripheral Displays,0.053,Gaze & Eye Tracking,0.053,,
63,Clinical Information Work,"AI, Data & Intelligent Interfaces",251,1992,25,31,239,0.839,Real-time Groupware,0.097,Email & Peripheral Displays,0.032,Fisheye & Scrolling Techniques,0.032
64,Gamification & Engagement,Games & Play,457,2014,45,89,1031,0.303,Video Interfaces & Editing,0.135,Esports & Player Communities,0.09,Speculative & Critical Design,0.079
65,Movement & Somaesthetics,Games & Play,340,2012,34,92,417,0.196,Speculative & Critical Design,0.152,Tangible Interaction,0.087,Memory & Reminiscence,0.076
66,Exergames & Bodily Play,Games & Play,257,2009,25,71,388,0.296,Tangible Interaction,0.155,Location-based Museum Play,0.099,Movement & Somaesthetics,0.056
67,Esports & Player Communities,Games & Play,245,2011,24,113,481,0.407,Instant Messaging,0.062,Location-based Museum Play,0.053,Gaze in Video Communication,0.053
68,Location-based Museum Play,Games & Play,158,2003,20,36,232,0.444,Gaze in Video Communication,0.111,Tangible Interaction,0.083,Distributed Team Awareness,0.083
69,VR Meditation & Breathing,Games & Play,155,2016,20,74,372,0.162,Exergames & Bodily Play,0.27,Family Video Communication,0.095,Gaze in Video Communication,0.095
70,Brain-Computer Interfaces,Games & Play,123,2011,20,31,517,0.645,Search & Recommendation,0.065,Gaze & Eye Tracking,0.065,Automated Driving,0.032
71,Rehabilitation Games,Games & Play,120,2013,20,55,350,0.236,Pointing & Target Selection,0.164,Esports & Player Communities,0.091,Exergames & Bodily Play,0.091
72,Playful Experience & Drones,Games & Play,335,2010,33,80,596,0.3,Speculative & Critical Design,0.138,CSCW Foundations,0.087,GUI Toolkits & Web Interfaces,0.05
73,Visual Accessibility,Accessibility & Assistive Tech,399,2011,39,78,380,0.385,Web Accessibility,0.179,Touch & Multi-touch Input,0.064,Blind & Low-vision Access,0.051
74,Neurodivergence & Autism,Accessibility & Assistive Tech,378,2011,37,103,675,0.417,Meeting Capture & Reading,0.058,Distributed Team Awareness,0.058,Sleep & Family Routines,0.049
75,Web Accessibility,Accessibility & Assistive Tech,319,1998,31,50,257,0.64,Fisheye & Scrolling Techniques,0.08,Meeting Capture & Reading,0.06,Voice & Conversational Agents,0.04
76,Deaf & Sign Language Tech,Accessibility & Assistive Tech,311,2010,31,50,426,0.42,Text Entry,0.08,Tabletop Collaboration,0.08,Meeting Capture & Reading,0.06
77,Non-visual Navigation,Accessibility & Assistive Tech,286,2010,28,27,217,0.704,Autonomous Vehicle Communication,0.074,Visual Accessibility,0.074,Smartphone Usage Logging,0.037
78,Tactile Graphics,Accessibility & Assistive Tech,235,2010,23,27,215,0.815,Web Accessibility,0.074,Tangible Interaction,0.074,Gaze in Video Communication,0.037
79,Blind & Low-vision Access,Accessibility & Assistive Tech,232,2009,23,37,283,0.351,Web Accessibility,0.162,Tactile Graphics,0.081,Visual Accessibility,0.054
80,DIY Assistive Technology,Accessibility & Assistive Tech,153,2013,20,48,242,0.271,GUI Toolkits & Web Interfaces,0.104,Gaze & Eye Tracking,0.083,Multimodal Speech Input,0.083
81,Accessible Games & VR,Accessibility & Assistive Tech,143,2009,20,51,238,0.549,Web Accessibility,0.176,Visual Accessibility,0.039,Surgical AR & Video Guidance,0.039
82,AAC & Communication Disabilities,Accessibility & Assistive Tech,223,2006,22,28,253,0.5,Web Accessibility,0.107,Memory & Reminiscence,0.071,CSCW Foundations,0.071
83,Real-time Groupware,Remote & Mixed-Reality Collaboration,285,1989,28,17,349,0.882,Distributed Team Awareness,0.118,,,,
84,Gaze in Video Communication,Remote & Mixed-Reality Collaboration,254,1997,25,56,221,0.464,Real-time Groupware,0.214,Distributed Team Awareness,0.143,CSCW Foundations,0.071
85,Family Video Communication,Remote & Mixed-Reality Collaboration,253,2010,25,97,376,0.268,Distributed Team Awareness,0.134,Gaze in Video Communication,0.093,Speculative & Critical Design,0.093
86,Augmented Reality Collaboration,Remote & Mixed-Reality Collaboration,231,2014,23,106,388,0.16,Touch & Multi-touch Input,0.142,Gaze in Video Communication,0.142,Tangible Interaction,0.104
87,Public & Ambient Displays,Remote & Mixed-Reality Collaboration,222,2005,22,108,278,0.25,Distributed Team Awareness,0.139,Cross-device & Large Displays,0.074,Email & Peripheral Displays,0.065
88,Distributed Team Awareness,Remote & Mixed-Reality Collaboration,215,1992,21,72,394,0.458,Real-time Groupware,0.222,Gaze in Video Communication,0.194,Email & Peripheral Displays,0.042
89,Social VR & Presence,Remote & Mixed-Reality Collaboration,184,2018,20,60,469,0.3,Esports & Player Communities,0.167,Gaze in Video Communication,0.15,"Gender, Intimacy & Safety",0.067
90,Tabletop Collaboration,Remote & Mixed-Reality Collaboration,152,2003,20,82,197,0.293,Real-time Groupware,0.256,Cross-device & Large Displays,0.134,Tangible Interaction,0.073
91,Surgical AR & Video Guidance,Remote & Mixed-Reality Collaboration,154,2008,20,41,299,0.146,Search & Recommendation,0.146,Gaze in Video Communication,0.122,Distributed Team Awareness,0.098
92,RF & Radar Sensing,Activity Sensing & Recognition,235,2018,23,100,833,0.43,Hand Input & Gesture Sensing,0.22,Indoor Localization,0.09,Sleep & Family Routines,0.07
93,Wearable Activity Recognition,Activity Sensing & Recognition,212,2013,21,40,461,0.4,Urban Mobility Data,0.075,Smartphone Usage Logging,0.05,Sustainable HCI,0.05
94,Indoor Localization,Activity Sensing & Recognition,170,2008,20,60,370,0.45,Location Sharing & Privacy,0.1,Smartphone Usage Logging,0.067,Urban Mobility Data,0.067
95,Urban Mobility Data,Activity Sensing & Recognition,161,2011,20,42,352,0.571,Indoor Localization,0.095,Hand Input & Gesture Sensing,0.048,Location Sharing & Privacy,0.048
96,Acoustic Health Sensing,Activity Sensing & Recognition,244,2017,24,62,700,0.371,Persuasive Health & Activity,0.129,Indoor Localization,0.081,Brain-Computer Interfaces,0.081
97,Tangible Interaction,"Tangible, VR & Fabrication",884,2002,88,357,1162,0.619,Meeting Capture & Reading,0.067,Distributed Team Awareness,0.031,Cross-device & Large Displays,0.025
98,VR Haptics,"Tangible, VR & Fabrication",755,2015,75,272,1209,0.393,Touch & Multi-touch Input,0.107,Pointing & Target Selection,0.099,Tangible Interaction,0.085
99,Deformable & Soft Displays,"Tangible, VR & Fabrication",386,2010,38,166,384,0.217,Tangible Interaction,0.301,Touch & Multi-touch Input,0.151,Fisheye & Scrolling Techniques,0.06
100,Digital Fabrication,"Tangible, VR & Fabrication",378,2014,37,176,425,0.369,Tangible Interaction,0.159,Touch & Multi-touch Input,0.085,Mixed Reality Systems,0.068
101,E-textiles & Weaving,"Tangible, VR & Fabrication",355,2014,35,58,323,0.345,Tangible Interaction,0.19,Printed Electronics,0.069,Speculative & Critical Design,0.052
102,Printed Electronics,"Tangible, VR & Fabrication",318,2010,31,139,339,0.381,Tangible Interaction,0.216,Prototyping & Authoring Tools,0.122,Touch & Multi-touch Input,0.072
103,Data Physicalization,"Tangible, VR & Fabrication",123,2016,20,113,399,0.115,Deformable & Soft Displays,0.159,Tangible Interaction,0.142,Touch & Multi-touch Input,0.062
104,Electrical Muscle Stimulation,"Tangible, VR & Fabrication",258,2010,25,46,442,0.196,Gaze in Video Communication,0.087,Tangible Interaction,0.087,VR Haptics,0.087
105,Hand Input & Gesture Sensing,Input & Interaction Techniques,880,2012,88,351,1087,0.316,Touch & Multi-touch Input,0.222,Tangible Interaction,0.071,Cross-device & Large Displays,0.054
106,Touch & Multi-touch Input,Input & Interaction Techniques,536,2000,53,224,696,0.531,Tangible Interaction,0.062,Gaze & Eye Tracking,0.058,Pointing & Target Selection,0.058
107,Pointing & Target Selection,Input & Interaction Techniques,421,2001,42,109,546,0.505,GUI Toolkits & Web Interfaces,0.101,Gaze & Eye Tracking,0.073,Touch & Multi-touch Input,0.055
108,Gaze & Eye Tracking,Input & Interaction Techniques,415,1999,41,102,515,0.608,Fisheye & Scrolling Techniques,0.098,Pointing & Target Selection,0.078,Touch & Multi-touch Input,0.059
109,Text Entry,Input & Interaction Techniques,392,2003,39,66,414,0.576,Pointing & Target Selection,0.106,Voice & Conversational Agents,0.045,Autonomous Vehicle Communication,0.045
110,Fisheye & Scrolling Techniques,Input & Interaction Techniques,314,1993,31,54,351,0.685,Gaze & Eye Tracking,0.111,GUI Toolkits & Web Interfaces,0.093,Touch & Multi-touch Input,0.037
111,Cross-device & Large Displays,Input & Interaction Techniques,280,2003,28,132,343,0.295,Tangible Interaction,0.159,Touch & Multi-touch Input,0.106,Fisheye & Scrolling Techniques,0.083
112,Gesture Elicitation & Recognition,Input & Interaction Techniques,249,2007,24,82,341,0.195,Prototyping & Authoring Tools,0.146,Cross-device & Large Displays,0.11,Meeting Capture & Reading,0.061
113,Mixed Reality Systems,Input & Interaction Techniques,229,2010,22,99,410,0.172,Touch & Multi-touch Input,0.202,Fisheye & Scrolling Techniques,0.101,Pointing & Target Selection,0.091
114,Menus & Command Selection,Input & Interaction Techniques,188,1995,20,29,188,0.69,Gaze in Video Communication,0.069,Location Sharing & Privacy,0.034,Pointing & Target Selection,0.034
115,Multimodal Speech Input,Input & Interaction Techniques,66,2002,20,43,305,0.442,Gaze & Eye Tracking,0.093,Text Entry,0.093,Touch & Multi-touch Input,0.07
