sub,name,band,papers,birth,founding_papers,founders,founder_share_in_founding,founder_share_all,takeoff_year,years_to_takeoff,share_last5
24,Sleep & Family Routines,Health & Wellbeing,120,2014,30,24,0.633,0.333,2020,6,0.433
25,Parkinson's & Mobility Support,Health & Wellbeing,71,2019,30,20,0.533,0.366,2024,5,0.423
26,Smart Home Automation,"Privacy, Security & Smart Homes",199,2001,30,17,0.567,0.191,2006,5,0.196
27,Youth Online Safety,"Privacy, Security & Smart Homes",162,2015,39,17,0.667,0.426,2020,5,0.568
28,Usable Security & Phishing,"Privacy, Security & Smart Homes",152,2014,30,17,0.5,0.217,2019,5,0.414
29,Photo Sharing & Privacy,"Privacy, Security & Smart Homes",149,2009,27,15,0.556,0.168,2014,5,0.322
30,Authentication & Passwords,"Privacy, Security & Smart Homes",145,2008,24,15,0.667,0.359,2014,6,0.179
31,Smart-home Privacy,"Privacy, Security & Smart Homes",130,2017,47,14,0.34,0.169,2022,5,0.538
32,App Permissions & Policy,"Privacy, Security & Smart Homes",122,2015,29,15,0.621,0.189,2021,6,0.525
33,Deceptive Advertising Patterns,"Privacy, Security & Smart Homes",120,2019,45,28,0.667,0.425,2024,5,0.725
34,Location Sharing & Privacy,"Privacy, Security & Smart Homes",134,2003,16,7,0.25,0.052,2008,5,0.097
35,Task Switching at Work,Mobile Life & Attention,201,2002,20,14,0.65,0.249,2007,5,0.204
36,Notifications & Interruptibility,Mobile Life & Attention,183,2001,18,8,0.611,0.104,2008,7,0.224
37,Social Network Sites at Work,Mobile Life & Attention,156,2006,37,20,0.595,0.295,2011,5,0.071
38,Instant Messaging,Mobile Life & Attention,144,1999,21,11,0.714,0.118,2004,5,0.104
39,Digital Self-control,Mobile Life & Attention,130,2013,26,13,0.385,0.215,2018,5,0.523
40,Smartphone Usage Logging,Mobile Life & Attention,120,2007,22,5,0.364,0.083,2012,5,0.05
41,Email & Peripheral Displays,Mobile Life & Attention,331,1985,16,5,0.375,0.024,1998,13,0.124
42,Older Adults & Technology,"Ageing, Care & Automation",208,2007,21,8,0.429,0.053,2012,5,0.394
43,Automated Driving,"Ageing, Care & Automation",136,2015,36,26,0.75,0.279,2020,5,0.368
44,Dementia & Ageing Care,"Ageing, Care & Automation",134,2016,40,29,0.75,0.388,2021,5,0.478
45,Autonomous Vehicle Communication,"Ageing, Care & Automation",291,1981,26,4,0.308,0.027,1986,5,0.141
47,Sustainable HCI,Sustainability & Everyday Living,293,2007,50,30,0.62,0.229,2013,6,0.253
48,Multispecies & Urban Nature,Sustainability & Everyday Living,192,2016,40,21,0.575,0.292,2021,5,0.599
49,Bio-materials & Sustainable Making,Sustainability & Everyday Living,167,2019,50,29,0.66,0.449,2025,6,0.707
50,Playful Food Experiences,Sustainability & Everyday Living,144,2010,27,21,0.593,0.188,2015,5,0.396
51,"Materials, Death & Legacy",Sustainability & Everyday Living,267,2002,12,3,0.333,0.019,2007,5,0.296
52,Explainable Machine Learning,"AI, Data & Intelligent Interfaces",1000,2003,15,4,0.2,0.005,2008,5,0.652
54,Voice & Conversational Agents,"AI, Data & Intelligent Interfaces",759,1994,15,2,0.2,0.008,2000,6,0.516
55,GUI Toolkits & Web Interfaces,"AI, Data & Intelligent Interfaces",752,1981,19,5,0.368,0.012,1986,5,0.142
56,Data Visualization,"AI, Data & Intelligent Interfaces",416,2009,31,17,0.581,0.219,2015,6,0.423
57,Search & Recommendation,"AI, Data & Intelligent Interfaces",395,1993,28,8,0.464,0.081,1998,5,0.182
58,Video Interfaces & Editing,"AI, Data & Intelligent Interfaces",372,1985,11,3,0.545,0.019,1990,5,0.22
59,Programming & Notebooks,"AI, Data & Intelligent Interfaces",360,2001,17,10,0.647,0.1,2008,7,0.467
62,Usability Methods & Personas,"AI, Data & Intelligent Interfaces",195,1986,16,3,0.375,0.067,1991,5,0.272
63,Clinical Information Work,"AI, Data & Intelligent Interfaces",251,1985,13,4,0.538,0.048,1991,6,0.155
64,Gamification & Engagement,Games & Play,457,2011,93,48,0.624,0.453,2016,5,0.284
65,Movement & Somaesthetics,Games & Play,340,2008,24,7,0.333,0.144,2013,5,0.45
67,Esports & Player Communities,Games & Play,245,2006,18,12,0.556,0.061,2012,6,0.396
68,Location-based Museum Play,Games & Play,158,1998,17,15,0.412,0.165,2003,5,0.076
69,VR Meditation & Breathing,Games & Play,155,2014,45,24,0.511,0.271,2019,5,0.439
70,Brain-Computer Interfaces,Games & Play,123,2009,25,13,0.36,0.154,2014,5,0.26
71,Rehabilitation Games,Games & Play,120,2011,38,18,0.658,0.458,2020,9,0.275
72,Playful Experience & Drones,Games & Play,335,2004,18,5,0.333,0.039,2010,6,0.307
73,Visual Accessibility,Accessibility & Assistive Tech,399,2006,28,11,0.464,0.185,2013,7,0.446
74,Neurodivergence & Autism,Accessibility & Assistive Tech,378,2004,14,4,0.357,0.098,2009,5,0.466
75,Web Accessibility,Accessibility & Assistive Tech,319,1992,19,7,0.684,0.044,1998,6,0.241
76,Deaf & Sign Language Tech,Accessibility & Assistive Tech,311,2005,20,9,0.6,0.19,2011,6,0.466
77,Non-visual Navigation,Accessibility & Assistive Tech,286,2003,9,6,0.444,0.014,2008,5,0.336
78,Tactile Graphics,Accessibility & Assistive Tech,235,2008,22,8,0.5,0.064,2013,5,0.391
80,DIY Assistive Technology,Accessibility & Assistive Tech,153,2013,31,12,0.516,0.216,2018,5,0.451
81,Accessible Games & VR,Accessibility & Assistive Tech,143,2007,16,4,0.5,0.091,2013,6,0.42
82,AAC & Communication Disabilities,Accessibility & Assistive Tech,223,2000,10,5,0.7,0.045,2005,5,0.242
83,Real-time Groupware,Remote & Mixed-Reality Collaboration,285,1986,46,15,0.348,0.056,1991,5,0.049
84,Gaze in Video Communication,Remote & Mixed-Reality Collaboration,254,1990,12,4,0.667,0.106,1996,6,0.209
85,Family Video Communication,Remote & Mixed-Reality Collaboration,253,2004,11,7,0.364,0.024,2010,6,0.281
86,Augmented Reality Collaboration,Remote & Mixed-Reality Collaboration,231,2013,28,16,0.464,0.13,2018,5,0.489
87,Public & Ambient Displays,Remote & Mixed-Reality Collaboration,222,2000,19,7,0.316,0.032,2008,8,0.108
88,Distributed Team Awareness,Remote & Mixed-Reality Collaboration,215,1988,18,7,0.556,0.074,1994,6,0.093
89,Social VR & Presence,Remote & Mixed-Reality Collaboration,184,2017,43,23,0.512,0.245,2022,5,0.696
90,Tabletop Collaboration,Remote & Mixed-Reality Collaboration,152,1999,14,6,0.571,0.178,2004,5,0.079
91,Surgical AR & Video Guidance,Remote & Mixed-Reality Collaboration,154,2011,21,4,0.286,0.104,2016,5,0.312
92,RF & Radar Sensing,Activity Sensing & Recognition,235,2016,65,58,0.708,0.485,2021,5,0.604
93,Wearable Activity Recognition,Activity Sensing & Recognition,212,2011,30,9,0.433,0.165,2016,5,0.472
94,Indoor Localization,Activity Sensing & Recognition,170,2002,14,7,0.5,0.071,2008,6,0.165
95,Urban Mobility Data,Activity Sensing & Recognition,161,2009,31,13,0.484,0.193,2014,5,0.143
96,Acoustic Health Sensing,Activity Sensing & Recognition,244,2015,46,22,0.435,0.156,2020,5,0.574
97,Tangible Interaction,"Tangible, VR & Fabrication",884,1995,49,20,0.571,0.088,2000,5,0.139
98,VR Haptics,"Tangible, VR & Fabrication",755,2002,8,2,0.25,0.007,2009,7,0.453
99,Deformable & Soft Displays,"Tangible, VR & Fabrication",386,2004,15,2,0.267,0.052,2009,5,0.332
100,Digital Fabrication,"Tangible, VR & Fabrication",378,2011,49,26,0.653,0.354,2016,5,0.434
101,E-textiles & Weaving,"Tangible, VR & Fabrication",355,2009,25,6,0.28,0.034,2014,5,0.456
102,Printed Electronics,"Tangible, VR & Fabrication",318,2007,26,4,0.269,0.063,2012,5,0.289
103,Data Physicalization,"Tangible, VR & Fabrication",123,2013,39,28,0.718,0.48,2020,7,0.472
104,Electrical Muscle Stimulation,"Tangible, VR & Fabrication",258,2008,25,5,0.28,0.035,2013,5,0.364
105,Hand Input & Gesture Sensing,Input & Interaction Techniques,880,2001,12,4,0.333,0.006,2006,5,0.358
106,Touch & Multi-touch Input,Input & Interaction Techniques,536,1994,23,13,0.565,0.121,2000,6,0.108
107,Pointing & Target Selection,Input & Interaction Techniques,421,1990,15,2,0.133,0.021,2000,10,0.247
108,Gaze & Eye Tracking,Input & Interaction Techniques,415,1988,18,5,0.5,0.029,1996,8,0.34
109,Text Entry,Input & Interaction Techniques,392,1996,17,3,0.353,0.041,2002,6,0.214
110,Fisheye & Scrolling Techniques,Input & Interaction Techniques,314,1988,25,3,0.32,0.051,1993,5,0.054
111,Cross-device & Large Displays,Input & Interaction Techniques,280,1998,20,10,0.5,0.046,2003,5,0.104
113,Mixed Reality Systems,Input & Interaction Techniques,229,2014,38,24,0.526,0.188,2019,5,0.498
114,Menus & Command Selection,Input & Interaction Techniques,188,1994,14,5,0.357,0.053,1999,5,0.08
