sub,name,band,papers,birth,founding_papers,author_groups,largest_group_share,top_paper_share,flag_paper,top_paper,top_paper_doi,ext_trigger_share,ext_trigger,export_share,founder_share_y6
29,Multimodal Sentiment & Speaking,"Gaze, Eye Tracking & Multimodal Sensing",163,2011,47,19,0.319,0.135,0,Rhema,10.1145/2678025.2701386,0.17,,0.896,0.38
30,Fixation & Saccade Analysis,"Gaze, Eye Tracking & Multimodal Sensing",153,2016,38,25,0.158,0.13,0,Predicting Cognitive Load in an Emergency Simulation Based on Behavioral and Phy,10.1145/3340555.3353735,0.184,Eye movements in reading and information processing: 20 year,0.868,0.38
31,Gaze Calibration & Datasets,"Gaze, Eye Tracking & Multimodal Sensing",140,2002,11,8,0.273,0.205,0,ViewPointer,10.1145/1095034.1095043,0.273,Interacting with groups of computers,0.725,0.0
32,Reading & Implicit Interest,"Gaze, Eye Tracking & Multimodal Sensing",307,2000,23,21,0.087,0.119,0,Implicit interest indicators,10.1145/359784.359836,0.174,,0.871,0.0
33,Remote Collaboration & Telepresence,"Collaboration, Displays & Mixed Reality",653,1990,11,8,0.182,0.174,0,ClearBoard,10.1145/142750.142977,0.182,Artificial reality II,0.789,0.0
34,CSCW Foundations,"Collaboration, Displays & Mixed Reality",564,1985,56,33,0.161,0.183,0,Why CSCW applications fail: problems in the design and evaluationof organization,10.1145/62266.62273,0.107,,0.897,0.33
35,Cross-device & Large Displays,"Collaboration, Displays & Mixed Reality",467,1995,16,13,0.188,0.272,0,Pick-and-drop,10.1145/263407.263505,0.25,Interacting with paper on the DigitalDesk,0.762,0.11
36,UI Toolkits & Automatic Generation,"Collaboration, Displays & Mixed Reality",378,1981,22,19,0.136,0.194,0,ADM --- a dialog manager,10.1145/317456.317489,0.273,Formal Grammar and Human Factors Design of an Interactive Gr,0.878,nan
37,AR Authoring & Assembly,"Collaboration, Displays & Mixed Reality",349,2001,12,11,0.167,0.368,0,DART,10.1145/1029632.1029669,0.167,,0.759,
38,Tabletop Collaboration,"Collaboration, Displays & Mixed Reality",294,2001,24,14,0.25,0.285,1,Territoriality in collaborative tabletop workspaces,10.1145/1031607.1031655,0.333,DiamondTouch,0.764,0.25
39,Public & Ambient Displays,"Collaboration, Displays & Mixed Reality",288,2000,27,20,0.148,0.366,1,Interactive public ambient displays,10.1145/1029632.1029656,0.259,In search of design principles for tools and practices to su,0.757,0.0
40,Real-time Groupware,"Collaboration, Displays & Mixed Reality",289,1986,18,15,0.111,0.174,0,Rendezvous: an architecture for synchronous multi-user applications,10.1145/99332.99364,0.5,,0.885,0.0
41,Social VR & Presence,"Collaboration, Displays & Mixed Reality",240,2015,40,28,0.15,0.152,0,Shaping Pro-Social Interaction in VR,10.1145/3290605.3300794,0.175,The Effect of Behavioral Realism and Form Realism of Real-Ti,0.795,0.25
42,Mixed Reality Rooms & Video,"Collaboration, Displays & Mixed Reality",197,2014,65,43,0.108,0.096,0,ShareVR,10.1145/3025453.3025683,0.185,IllumiRoom,0.8,0.57
43,Live Streaming,"Collaboration, Displays & Mixed Reality",168,2011,34,27,0.088,0.386,1,Streaming on twitch,10.1145/2556288.2557048,0.147,"Less talk, more rock",0.714,0.0
44,Meeting Capture & Reading,"Collaboration, Displays & Mixed Reality",158,1985,11,11,0.091,0.353,1,Capturing the capture concepts: a case study in the design of computer-supported,10.1145/62266.62287,0.182,,0.833,
45,Distributed Cognition & Emergency Coordination,"Collaboration, Displays & Mixed Reality",97,2002,15,10,0.267,0.314,0,Making action visible in time-critical work,10.1145/1124772.1124804,0.267,Supporting communication and collaboration practices in safe,0.848,0.0
46,Driver Distraction & Take-over,Automotive & Automated Driving,165,2009,40,27,0.15,0.11,0,Evaluating multimodal driver displays of varying urgency,10.1145/2516540.2516543,0.125,The effects of a mobile telephone task on driver behaviour i,0.778,0.14
47,In-Car Interfaces,Automotive & Automated Driving,140,2009,39,21,0.154,0.123,0,Free-hand pointing for identification and interaction with distant objects,10.1145/2516540.2516556,0.154,SUS: A 'Quick and Dirty' Usability Scale,0.728,0.44
48,Automated Driving,Automotive & Automated Driving,128,2015,39,16,0.231,0.085,0,Cooperative Overtaking,10.1145/3342197.3344531,0.256,Trust in Automation: Designing for Appropriate Reliance,0.791,0.38
49,Car Navigation & Driver UIs,Automotive & Automated Driving,122,2008,43,29,0.186,0.117,0,Where should i turn,10.1145/1753326.1753516,0.14,,0.8,0.33
50,Autonomous Vehicles & Pedestrians,Automotive & Automated Driving,482,2002,15,9,0.333,0.448,1,ActiveBelt: Belt-Type Wearable Tactile Display for Directional Navigation,10.1007/978-3-540-30119-6_23,0.333,DEEP MAP: Challenging IT Research In The Framework Of A Tour,0.819,nan
51,Cognitive Modeling & Mixed Small Topics,Mixed Small Communities,672,1982,37,29,0.108,0.167,0,Predicting the time to recall computer command abbreviations,10.1145/29933.30857,0.108,The Psychology of Human-Computer Interaction,0.933,0.17
52,Non-visual Navigation,Accessibility & Assistive Tech,152,2014,36,21,0.194,0.118,0,NavCog,10.1145/2935334.2935361,0.306,VizWiz,0.776,0.45
53,Accessibility Research Practice,Accessibility & Assistive Tech,152,2015,35,22,0.143,0.105,0,Collaborative Accessibility,10.1145/2702123.2702511,0.171,,0.667,0.15
54,Visual Accessibility,Accessibility & Assistive Tech,126,2017,39,19,0.436,0.088,0,Automatic Alt-text,10.1145/2998181.2998364,0.256,VizWiz,0.727,0.43
55,Disability Studies in HCI,Accessibility & Assistive Tech,551,2005,28,26,0.071,0.105,0,Participatory design with proxies,10.1145/1124772.1124797,0.179,,0.778,0.0
56,Esports & Player Communities,Games & Play,144,2010,25,20,0.08,0.172,0,The identification of deviance and its impact on retention in a multiplayer game,10.1145/2531602.2531724,0.24,,0.654,0.1
57,Player Experience & Immersion,Games & Play,132,2012,45,24,0.311,0.114,0,Fostering Intrinsic Motivation through Avatar Identification in Digital Games,10.1145/2858036.2858062,0.4,The Motivational Pull of Video Games: A Self-Determination T,0.75,0.33
58,Gamification & Engagement,Games & Play,692,2004,29,24,0.138,0.162,0,Tracking real-time user experience (TRUE),10.1145/1357054.1357126,0.172,The Thing and I: Understanding the Relationship Between User,0.8,0.0
59,Social Robots in the Field,"Robots, Agents & Human-AI Interaction",1732,2002,63,31,0.27,0.116,0,Service robots in the domestic environment,10.1145/1121241.1121286,0.238,,0.875,0.33
60,Generative AI & Writing,"Robots, Agents & Human-AI Interaction",1160,1999,15,12,0.2,0.519,1,Principles of mixed-initiative user interfaces,10.1145/302979.303030,0.333,,0.692,0.0
61,Voice & Conversational Agents,"Robots, Agents & Human-AI Interaction",1098,1998,21,18,0.19,0.224,0,Relational agents,10.1145/365024.365304,0.429,"The media equation: how people treat computers, television, ",0.75,0.0
62,End-user Programming & UI Design Tools,"Robots, Agents & Human-AI Interaction",619,1989,18,14,0.222,0.364,0,EAGER,10.1145/108844.108850,0.278,Programming by example,0.765,nan
63,Robots & Agents in Education,"Robots, Agents & Human-AI Interaction",475,2001,12,7,0.333,0.273,0,Off-task behavior in the cognitive tutor classroom,10.1145/985692.985741,0.333,,0.846,nan
64,Video Interfaces & Editing,"Robots, Agents & Human-AI Interaction",427,1985,18,12,0.333,0.192,0,Dynamic construction of animated help from application context,10.1145/62402.62433,0.167,,0.75,0.33
65,Meeting Support & Group Displays,"Robots, Agents & Human-AI Interaction",183,2009,29,25,0.138,0.167,0,Visualizing real-time language-based feedback on teamwork behavior in computer-m,10.1145/1518701.1518784,0.138,,0.783,0.0
66,Usability Methods & Personas,"Robots, Agents & Human-AI Interaction",158,1990,15,7,0.333,0.258,0,Heuristic evaluation of user interfaces,10.1145/97243.97281,0.267,Theory-Based Design for Easily Learned Interfaces,0.919,0.0
68,Natural Language Interfaces & Human-AI Teams,"Robots, Agents & Human-AI Interaction",316,2007,25,23,0.12,0.188,0,CiteSense,10.1145/1357054.1357161,0.12,Natural language interfaces to databases – an introduction,0.84,0.0
69,Urban Mobility Data,Mobile Life & Attention,221,2010,53,35,0.151,0.114,0,Understanding and prediction of mobile application usage for smart phones,10.1145/2370216.2370243,0.17,Understanding individual human mobility patterns,0.907,0.3
70,Email & Web Revisitation,Mobile Life & Attention,221,1985,11,11,0.091,0.6,1,More than just a communication system: diversity in the use of electronic mail,10.1145/62266.62293,0.273,Structuring computer-mediated communication systems to avoid,0.837,
71,Notifications & Interruptibility,Mobile Life & Attention,195,2002,27,15,0.259,0.153,0,"If not now, when?",10.1145/985692.985727,0.481,"Notification, Disruption, and Memory: Effects of Messaging I",0.731,0.6
72,Instant Messaging,Mobile Life & Attention,173,1997,15,10,0.2,0.391,1,Interaction and outeraction,10.1145/358916.358975,0.267,Media spaces,0.803,0.0
73,Digital Self-control,Mobile Life & Attention,122,2016,32,19,0.188,0.079,0,Self-Control in Cyberspace,10.1145/3290605.3300361,0.5,Habits make smartphone use more pervasive,0.629,0.27
74,Location Sharing & Privacy,Mobile Life & Attention,120,2001,19,13,0.263,0.439,1,Location disclosure to social relations,10.1145/1054972.1054985,0.316,The Cricket location-support system,0.875,nan
75,Task Switching at Work,Mobile Life & Attention,121,2014,30,15,0.4,0.114,0,Effects of Individual Differences in Blocking Workplace Distractions,10.1145/3173574.3173666,0.2,Cognitive control in media multitaskers,0.75,0.4
76,Mobile Information Needs & Translation,Mobile Life & Attention,275,2000,19,12,0.316,0.327,0,Taking it out of context,10.1145/1031607.1031712,0.263,,0.8,0.0
77,Recommender Explanations & User-centric Evaluation,Recommender Systems,318,2005,28,15,0.321,0.252,0,PeerChooser,10.1145/1357054.1357222,0.286,,0.848,0.33
78,Sequential & Session-based Recommendation,Recommender Systems,244,2011,31,15,0.194,0.159,0,Comparative recommender system evaluation,10.1145/2645710.2645746,0.29,Training and testing of recommender systems on data missing ,0.923,0.0
79,Neural Session Recommendation,Recommender Systems,226,2009,28,11,0.393,0.247,0,Context-aware music recommendation based on latenttopic sequential patterns,10.1145/2365952.2365979,0.143,Item-based collaborative filtering recommendation algorithms,0.912,0.29
80,"Diversity, Novelty & Bias in Recommendation",Recommender Systems,219,2007,23,20,0.13,0.29,0,Rank and relevance in novelty and diversity metrics for recommender systems,10.1145/2043932.2043955,0.478,Evaluating collaborative filtering recommender systems,0.911,0.09
81,Collaborative Filtering & Trust,Recommender Systems,211,2001,16,11,0.188,0.41,0,Is seeing believing?,10.1145/642611.642713,0.25,Fab,0.955,0.0
82,Knowledge-aware & LLM Recommendation,Recommender Systems,189,2011,34,19,0.324,0.197,0,Precision-oriented evaluation of recommender systems,10.1145/2043932.2043996,0.294,Matrix Factorization Techniques for Recommender Systems,0.947,0.33
83,Industrial Recommendation & CTR Prediction,Recommender Systems,178,2016,47,37,0.064,0.331,1,Deep Neural Networks for YouTube Recommendations,10.1145/2959100.2959190,0.298,Wide & Deep Learning for Recommender Systems,0.955,0.05
84,Web Search & Navigation,Recommender Systems,173,1993,21,11,0.429,0.129,0,Information foraging in information access environments,10.1145/223904.223911,0.19,Using collaborative filtering to weave an information tapest,0.905,0.5
85,Context-aware & Cold-start Recommendation,Recommender Systems,151,2007,30,20,0.167,0.2,0,Multiverse recommendation,10.1145/1864708.1864727,0.367,Item-based collaborative filtering recommendation algorithms,0.937,0.08
86,News Recommendation & Offline Evaluation,Recommender Systems,136,2013,22,15,0.182,0.233,0,Offline and online evaluation of news recommender systems at swissinfo.ch,10.1145/2645710.2645745,0.318,Google news personalization,0.914,0.15
87,Social Tagging & Group Recommendation,Recommender Systems,411,1996,14,13,0.143,0.423,1,MusicFX,10.1145/289444.289511,0.286,Agents that reduce work and information overload,0.927,
88,Co-design with Children,Children & Learning,334,1996,14,11,0.214,0.537,1,Cooperative inquiry,10.1145/302979.303166,0.214,Chapter 3: Children as Our Technology Design Partners+,0.75,nan
89,Tangibles for Learning,Children & Learning,300,2005,47,34,0.128,0.179,0,Do tangible interfaces enhance learning?,10.1145/1226969.1227004,0.213,"Mindstorms: Children, Computers, And Powerful Ideas",0.75,0.27
90,Autistic Children & Technology,Children & Learning,243,2007,23,12,0.217,0.172,0,Collaborative Puzzle Game,10.1145/1731903.1731940,0.13,Towards interactive robots in autism therapy,0.813,0.0
91,Youth Online Safety,Children & Learning,225,2014,48,19,0.333,0.091,0,Parental Control vs. Teen Self-Regulation,10.1145/2998181.2998352,0.271,Parental Mediation of Children's Internet Use,0.623,0.38
92,Children's Agency & Research Ethics,Children & Learning,213,2006,23,20,0.13,0.25,0,Designing with and for children with special needs,10.1145/1463689.1463719,0.261,,0.714,0.0
93,AI Literacy & K-12,Children & Learning,167,2017,39,19,0.205,0.192,0,What is AI Literacy? Competencies and Design Considerations,10.1145/3313831.3376727,0.333,Envisioning AI for K-12: What Should Every Child Know about ,0.688,0.38
95,Usable Security & Phishing,"Privacy, Security & Smart Homes",141,2015,34,21,0.147,0.083,0,"""If It's Important It Will Be A Headline""",10.1145/3290605.3300579,0.265,Crying Wolf: An Empirical Study of SSL Warning Effectiveness,0.84,0.2
96,Smart-home Privacy,"Privacy, Security & Smart Homes",134,2017,43,33,0.093,0.087,0,"Alexa, Are You Listening?",10.1145/3274371,0.233,,0.65,0.08
97,Deceptive Advertising Patterns,"Privacy, Security & Smart Homes",124,2019,50,30,0.16,0.121,0,Dark Patterns at Scale,10.1145/3359183,0.32,Tales from the Dark Side: Privacy Dark Strategies and Privac,0.78,0.35
98,Ubicomp Privacy & Home Automation,"Privacy, Security & Smart Homes",313,2003,15,13,0.133,0.224,0,Privacy policies as decision-making tools,10.1145/985692.985752,0.2,Why Johnny can't encrypt: a usability evaluation of PGP 5.0,0.821,nan
99,Movement & Somaesthetics,Design Research & Critical HCI,647,2002,17,14,0.176,0.466,1,Ambiguity as a resource for design,10.1145/642611.642653,0.235,"Hertzian Tales: Electronic Products, Aesthetic Experience, a",0.644,0.0
100,Bodily Play & Spectator Experience,Design Research & Critical HCI,571,1998,22,12,0.318,0.197,0,Orchestrating a mixed reality performance,10.1145/365024.365033,0.182,Exhibiting Interaction: Conduct and Collaboration in Museums,0.713,0.33
101,Speculative & Critical Design,Design Research & Critical HCI,563,1999,22,17,0.182,0.218,0,Design-oriented human-computer interaction,10.1145/642611.642652,0.227,Design at Work,0.682,nan
102,Sustainable HCI,Design Research & Critical HCI,510,2005,33,23,0.182,0.223,0,Sustainable interaction design,10.1145/1240624.1240705,0.242,Leveraging Social Networks To Motivate Individuals to Reduce,0.673,0.28
103,Family Video Communication,Design Research & Critical HCI,429,1998,21,20,0.095,0.236,0,Digital family portraits,10.1145/365024.365126,0.19,Computers and other interactive technologies for the home,0.687,
104,Memory & Reminiscence,Design Research & Critical HCI,358,2001,17,16,0.118,0.341,0,Requirements for photoware,10.1145/587078.587102,0.235,Direct annotation: a drag-and-drop strategy for labeling pho,0.625,
105,Interpretation & Critique in Design Research,Design Research & Critical HCI,340,2005,21,11,0.429,0.17,0,Staying open to interpretation,10.1145/1142405.1142422,0.238,Plans and situated actions,0.5,0.2
106,More-than-human Design,Design Research & Critical HCI,306,2010,37,24,0.189,0.086,0,"Breakdown, obsolescence and reuse",10.1145/2556288.2557332,0.216,Early explorations of CAT,0.684,0.0
107,VR Meditation & Breathing,Design Research & Critical HCI,225,2014,54,36,0.111,0.081,0,Inner Garden,10.1145/3025453.3025743,0.13,,0.639,0.26
108,Playful Food Experiences,Design Research & Critical HCI,174,2010,35,24,0.2,0.095,0,Telematic dinner party,10.1145/2317956.2317964,0.229,,0.628,0.3
110,Self-tracking & Reflection,Health & Wellbeing,519,2007,39,27,0.128,0.193,0,Activity sensing in the wild,10.1145/1357054.1357335,0.256,,0.665,0.19
111,Chronic Care & Caregiving,Health & Wellbeing,336,2007,33,19,0.182,0.106,0,Improving communication and social support for caregivers of high-risk infants t,10.1145/1958824.1958897,0.121,Opportunities for Pervasive Computing in Chronic Cancer Care,0.569,0.25
112,Behavior Sensing,Health & Wellbeing,329,2010,40,23,0.2,0.341,1,StudentLife,10.1145/2632048.2632054,0.2,,0.846,0.28
113,Stress & Mood Technology,Health & Wellbeing,299,2011,39,25,0.256,0.118,0,Engagement with online mental health interventions,10.1145/2207676.2208602,0.205,Design and evaluation guidelines for mental health technolog,0.647,0.11
114,Aging & Dementia Care,Health & Wellbeing,287,2010,46,29,0.13,0.094,0,Never too old,10.1145/2556288.2557184,0.152,Using thematic analysis in psychology,0.7,0.45
115,Personal Informatics Models,Health & Wellbeing,264,2013,46,27,0.196,0.094,0,A lived informatics model of personal informatics,10.1145/2750858.2804250,0.196,Using thematic analysis in psychology,0.523,0.2
116,Clinical Information Work,Health & Wellbeing,141,2001,15,9,0.4,0.273,0,A finger on the pulse,10.1145/587078.587126,0.333,Coordinating Heterogeneous Work: Information and Representat,0.746,0.0
117,"Sleep, ADHD & Lifelogging",Health & Wellbeing,213,2011,36,23,0.139,0.12,0,Lullaby,10.1145/2370216.2370253,0.139,Unobtrusive Sleep Monitoring using Smartphones,0.8,0.25
118,Crowdsourcing & Human Computation,"Crowds, Data & Human-AI Decisions",423,2007,40,31,0.125,0.17,0,Soylent,10.1145/1866029.1866078,0.35,Labeling images with a computer game,0.719,0.25
119,Explainable Machine Learning,"Crowds, Data & Human-AI Decisions",415,2016,64,47,0.062,0.075,0,Designing Theory-Driven User-Centric Explainable AI,10.1145/3290605.3300831,0.438,"""Why Should I Trust You?""",0.777,0.12
120,Data Visualization,"Crowds, Data & Human-AI Decisions",399,2010,40,21,0.225,0.151,0,Useful junk?,10.1145/1753326.1753716,0.225,The eyes have it: a task by data type taxonomy for informati,0.846,0.23
121,Fairness & Clinical AI,"Crowds, Data & Human-AI Decisions",299,2016,48,29,0.271,0.087,0,Improving Fairness in Machine Learning Systems,10.1145/3290605.3300830,0.188,Fairness through awareness,0.695,0.17
122,Data Work & Infrastructure,"Crowds, Data & Human-AI Decisions",293,2010,40,25,0.15,0.171,0,Homebrew databases,10.1145/1978942.1979078,0.2,The Long Now of Technology Infrastructure: Articulating Tens,0.632,0.1
123,Interactive Machine Learning,"Crowds, Data & Human-AI Decisions",173,2014,35,28,0.114,0.25,0,ModelTracker,10.1145/2702123.2702509,0.229,Power to the People: The Role of Humans in Interactive Machi,0.787,0.1
124,Peer & Crowd Feedback,"Crowds, Data & Human-AI Decisions",126,2013,45,15,0.578,0.096,0,"Structuring, Aggregating, and Evaluating Crowdsourced Design Critique",10.1145/2675133.2675283,0.289,Critiquing Critiques,0.6,0.36
125,Computational Notebooks,"Crowds, Data & Human-AI Decisions",159,1997,12,10,0.25,0.182,0,Evaluating the utility and usability of an adaptive hypermedia system,10.1145/238218.238320,0.25,,0.824,
126,Social Media & Mental Health,"Work, Community & Society",689,2006,36,25,0.111,0.091,0,Predicting tie strength with social media,10.1145/1518701.1518736,0.25,The Benefits of Facebook “Friends:” Social Capital and Colle,0.704,0.11
127,ICTD & Rural Communities,"Work, Community & Society",591,2006,41,14,0.61,0.154,0,Postcolonial computing,10.1145/1753326.1753522,0.293,,0.593,0.33
128,Wikipedia & Open Source,"Work, Community & Society",567,2001,14,9,0.214,0.389,0,Becoming Wikipedian,10.1145/1099203.1099205,0.571,,0.778,0.2
129,Crisis Informatics,"Work, Community & Society",534,2008,52,25,0.346,0.111,0,"""Voluntweeters""",10.1145/1978942.1979102,0.192,Organized Behavior in Disaster.,0.774,0.27
130,Gender & Algorithmic Bias,"Work, Community & Society",437,2014,68,41,0.235,0.063,0,Safe Spaces and Safe Places,10.1145/3274424,0.206,,0.708,0.2
131,Civic Participation,"Work, Community & Society",409,2009,34,26,0.118,0.131,0,The relationship of action research to human-computer interaction,10.1145/1993060.1993065,0.294,,0.533,0.35
132,Moderation & Online Harassment,"Work, Community & Society",340,2014,43,23,0.279,0.107,0,Shaping Pro and Anti-Social Behavior on Twitch Through Moderation and Example-Se,10.1145/2998181.2998277,0.209,,0.591,0.24
133,Gig Work & Labor,"Work, Community & Society",336,2012,41,24,0.122,0.129,0,Working with Machines,10.1145/2702123.2702548,0.122,The Discovery of Grounded Theory: Strategies for Qualitative,0.629,0.36
134,"Gender, Intimacy & Safety","Work, Community & Society",328,2014,41,24,0.293,0.081,0,Examining Menstrual Tracking to Inform the Design of Personal Informatics Tools,10.1145/3025453.3025635,0.244,,0.56,0.29
135,Enterprise Social Media & Crowdfunding,"Work, Community & Society",230,2005,52,24,0.5,0.109,0,Motivations for social networking at work,10.1145/1460563.1460674,0.231,Referral Web,0.842,0.38
136,"Refugees, Hackathons & Crypto","Work, Community & Society",140,2016,43,24,0.302,0.067,0,Moving into a technology land,10.1145/3314344.3332481,0.209,Implications of Synchronous IVR Radio on Syrian Refugee Heal,0.667,0.33
