sub,name,band,papers,hci_member_share,early_refs,from_hci,from_graphics,from_robotics,from_vrar,from_haptics,from_ijhcs
71,Drones & Flying Robots,Robots & Conversational Agents,130,0.45,22,0.364,0.227,0.318,0.0,0.0,0.091
72,Robot Presence & Embodiment,Robots & Conversational Agents,214,0.48,29,0.862,0.034,0.0,0.0,0.0,0.103
73,Human-AI Trust & Explanation,"AI, Data & Intelligent Interfaces",1120,0.84,366,0.735,0.003,0.128,0.0,0.0,0.134
74,Crowdsourcing & Peer Feedback,"AI, Data & Intelligent Interfaces",623,0.96,150,0.88,0.067,0.0,0.0,0.0,0.053
75,"LLMs, Writing & Prompting","AI, Data & Intelligent Interfaces",552,0.95,107,0.85,0.028,0.084,0.0,0.0,0.037
76,Search & Recommendation,"AI, Data & Intelligent Interfaces",536,0.9,101,0.98,0.01,0.0,0.0,0.0,0.01
77,Creativity Support & Generative Tools,"AI, Data & Intelligent Interfaces",531,0.81,151,0.821,0.066,0.0,0.0,0.0,0.113
78,Data Visualization,"AI, Data & Intelligent Interfaces",486,0.94,110,0.764,0.218,0.0,0.0,0.0,0.018
79,Video Interfaces & Editing,"AI, Data & Intelligent Interfaces",412,0.92,58,0.948,0.052,0.0,0.0,0.0,0.0
80,GUI Datasets & Automation,"AI, Data & Intelligent Interfaces",371,0.91,73,0.836,0.164,0.0,0.0,0.0,0.0
81,Programming & Notebooks,"AI, Data & Intelligent Interfaces",359,0.94,57,0.86,0.0,0.0,0.0,0.0,0.14
82,Meetings & Multilingual Communication,"AI, Data & Intelligent Interfaces",295,0.92,47,0.979,0.021,0.0,0.0,0.0,0.0
83,Interactive Machine Learning,"AI, Data & Intelligent Interfaces",163,0.95,72,0.944,0.028,0.0,0.014,0.0,0.014
84,AI-generated Personas,"AI, Data & Intelligent Interfaces",67,0.73,43,0.674,0.0,0.0,0.0,0.0,0.326
85,Awareness & Workplace Chat,Mobile Life & Sensing,330,0.88,52,0.981,0.019,0.0,0.0,0.0,0.0
86,Urban Mobility Prediction,Mobile Life & Sensing,262,0.97,51,0.941,0.059,0.0,0.0,0.0,0.0
87,Physiological & Brain Sensing,Mobile Life & Sensing,229,0.85,35,0.743,0.029,0.0,0.0,0.0,0.229
88,Email & Web Revisitation,Mobile Life & Sensing,210,0.91,52,0.808,0.135,0.0,0.0,0.0,0.058
89,Interruptions & Multitasking,Mobile Life & Sensing,203,0.84,74,0.959,0.014,0.0,0.0,0.0,0.027
90,Notifications & Interruptibility,Mobile Life & Sensing,185,0.91,95,0.895,0.0,0.0,0.0,0.0,0.105
91,Mobile Sensing for Mental Health,Mobile Life & Sensing,172,0.99,35,0.914,0.0,0.0,0.0,0.0,0.086
92,Collaborative Filtering & Browsing,Mobile Life & Sensing,158,0.82,54,1.0,0.0,0.0,0.0,0.0,0.0
93,Smartphone Use & Wellbeing,Mobile Life & Sensing,126,0.92,211,0.995,0.0,0.0,0.0,0.0,0.005
94,Experience Sampling,Mobile Life & Sensing,124,0.91,67,0.97,0.0,0.0,0.0,0.0,0.03
95,Ambient Displays & Language Learning,Mobile Life & Sensing,174,0.97,32,0.969,0.0,0.0,0.0,0.0,0.031
96,Data Privacy & Permissions,Privacy & Security,168,0.89,54,0.907,0.0,0.0,0.0,0.0,0.093
97,Authentication & Passwords,Privacy & Security,164,0.88,36,0.778,0.028,0.0,0.0,0.0,0.194
98,Smart-home Privacy,Privacy & Security,154,0.91,85,0.859,0.0,0.106,0.0,0.0,0.035
99,Phishing & Security Behaviour,Privacy & Security,132,0.88,35,0.857,0.0,0.0,0.0,0.0,0.143
100,Dark Patterns,Privacy & Security,353,0.9,85,0.953,0.0,0.0,0.0,0.0,0.047
101,Design Research & Art,Design Research & Practice,490,0.92,175,0.966,0.006,0.0,0.0,0.0,0.029
102,"Body, Movement & Soma Design",Design Research & Practice,353,0.88,78,0.692,0.154,0.0,0.0,0.0,0.154
103,HCI Research Practice,Design Research & Practice,332,0.9,41,1.0,0.0,0.0,0.0,0.0,0.0
104,Design Fiction & Ethics,Design Research & Practice,292,0.95,112,0.929,0.009,0.0,0.0,0.0,0.062
105,Memory & Reminiscence,Design Research & Practice,294,0.92,118,0.975,0.025,0.0,0.0,0.0,0.0
106,Museums & Cultural Heritage,Design Research & Practice,288,0.93,55,0.964,0.036,0.0,0.0,0.0,0.0
107,Bodily Play & Exertion,Design Research & Practice,288,0.84,57,0.842,0.123,0.0,0.0,0.0,0.035
108,More-than-Human Design,Design Research & Practice,286,0.97,70,0.986,0.014,0.0,0.0,0.0,0.0
109,Family Communication at Home,Design Research & Practice,234,0.93,63,1.0,0.0,0.0,0.0,0.0,0.0
110,Biofeedback & Mindfulness,Design Research & Practice,231,0.85,79,0.886,0.038,0.013,0.0,0.0,0.063
111,Human-Food Interaction,Design Research & Practice,144,0.83,64,0.859,0.016,0.0,0.0,0.0,0.125
112,Animal-Computer Interaction,Design Research & Practice,64,0.88,82,0.951,0.024,0.0,0.0,0.0,0.024
113,Personal Informatics,"Health, Care & Ageing",583,0.95,218,0.977,0.014,0.005,0.0,0.0,0.005
114,Older Adults & Dementia Care,"Health, Care & Ageing",383,0.91,117,0.915,0.017,0.0,0.0,0.0,0.068
115,Chronic Care & Caregiving,"Health, Care & Ageing",374,0.98,119,1.0,0.0,0.0,0.0,0.0,0.0
116,Mental Health Interventions,"Health, Care & Ageing",227,0.91,94,0.915,0.011,0.0,0.0,0.0,0.074
117,Women's Health & Menstrual Tracking,"Health, Care & Ageing",168,0.96,172,0.971,0.012,0.0,0.0,0.0,0.017
118,Family Health Informatics,"Health, Care & Ageing",157,0.97,79,0.962,0.0,0.0,0.0,0.0,0.038
119,Hospital Work & Records,"Health, Care & Ageing",124,0.99,49,1.0,0.0,0.0,0.0,0.0,0.0
120,Stroke Rehabilitation & Eating,"Health, Care & Ageing",105,0.97,38,0.947,0.026,0.026,0.0,0.0,0.0
121,Social Media & Privacy,Social Media & Online Communities,822,0.98,335,0.973,0.0,0.0,0.0,0.0,0.027
122,Sustainable HCI,Social Media & Online Communities,685,0.95,267,0.978,0.0,0.0,0.0,0.0,0.022
123,Content Moderation,Social Media & Online Communities,605,0.98,274,0.989,0.0,0.0,0.0,0.0,0.011
124,Open Collaboration Online,Social Media & Online Communities,556,0.96,206,0.917,0.005,0.0,0.0,0.0,0.078
125,Participatory & Community Design,Social Media & Online Communities,554,0.97,211,0.948,0.005,0.0,0.0,0.0,0.047
126,Misinformation & News,Social Media & Online Communities,528,0.98,190,0.979,0.005,0.0,0.0,0.0,0.016
127,Feminist HCI & Global Contexts,Social Media & Online Communities,472,0.99,136,0.985,0.0,0.0,0.0,0.0,0.015
128,Youth & Online Media,Social Media & Online Communities,287,0.91,82,0.951,0.0,0.0,0.012,0.0,0.037
129,Makerspaces & Hackathons,Social Media & Online Communities,253,0.95,68,0.868,0.015,0.029,0.0,0.0,0.088
130,Gig Work & Labour,Social Media & Online Communities,247,0.99,96,0.979,0.0,0.01,0.0,0.0,0.01
131,Live Streaming,Social Media & Online Communities,186,0.96,60,1.0,0.0,0.0,0.0,0.0,0.0
132,Trans & Gender Representation,Social Media & Online Communities,122,0.98,85,0.988,0.0,0.012,0.0,0.0,0.0
133,Cryptocurrency & Trust,Social Media & Online Communities,76,0.96,98,0.98,0.0,0.0,0.0,0.0,0.02
