sub,name,band,papers,first_year,birth_year,first_reach_year,peak_year,median_year,q1_year,q3_year,mean_depth,max_depth
53,Voice Assistants for Older Adults,Robots & Conversational Agents,543,1995,2014,2005,2024,2022,2020,2024,44.87,66
54,Robot Programming,Robots & Conversational Agents,398,1995,2004,2004,2019,2017,2011,2022,24.41,66
55,Nonverbal & Public-speaking Analysis,Robots & Conversational Agents,387,2000,2003,2004,2013,2017,2013,2021,29.09,62
56,Robot Programming (robot),Robots & Conversational Agents,381,1998,2009,2006,2025,2022,2017,2024,32.21,65
57,Chatbot Companions,Robots & Conversational Agents,388,1993,2015,2000,2025,2023,2020,2025,45.18,66
58,Human-Robot Interaction,Robots & Conversational Agents,319,1987,2006,2006,2022,2018,2013,2022,31.31,67
59,Child-Robot Interaction (robot),Robots & Conversational Agents,275,1983,2009,2002,2022,2019,2014,2023,29.43,62
60,Virtual Agents & Social Effects,Robots & Conversational Agents,262,1990,1992,1994,2005,2009,2003,2017,21.82,64
61,Multilingual & Multimodal Communication,Robots & Conversational Agents,279,1982,2002,1985,2013,2015,2009,2022,27.55,65
62,"LLMs, Writing & Prompting",Human-AI Interaction & Data,1133,1982,1999,2005,2025,2024,2022,2025,49.8,68
63,Human-AI Trust & Explanation,Human-AI Interaction & Data,813,1983,1996,2000,2025,2023,2021,2025,48.4,67
64,Crowdsourcing & Peer Feedback,Human-AI Interaction & Data,814,1982,1990,1995,2017,2016,2011,2020,35.03,68
65,Data Visualization,Human-AI Interaction & Data,560,1976,1984,1988,2025,2019,2013,2023,36.78,66
66,Algorithmic Fairness & Auditing,Human-AI Interaction & Data,556,1997,2013,2007,2025,2022,2020,2024,47.55,65
67,Adaptive Help & Software Learnability,Human-AI Interaction & Data,554,1981,1985,1986,2011,2012,2004,2018,29.05,67
68,Programming & Notebooks,Human-AI Interaction & Data,399,1982,1994,1985,2021,2021,2013,2023,40.67,66
69,GUI Optimization & Color,Human-AI Interaction & Data,376,1982,1989,1991,2025,2019,2013,2023,37.96,68
70,Video Interfaces & Editing,Human-AI Interaction & Data,293,1982,1990,1986,2025,2015,2007,2022,33.55,68
71,Scientific Search & Sensemaking,Human-AI Interaction & Data,168,1995,2007,1998,2025,2021,2012,2024,42.73,68
72,Mobile Sensing for Mental Health,Human-AI Interaction & Data,127,2010,2016,2012,2025,2022,2019,2024,45.21,64
73,Language Tools & Deployment,Human-AI Interaction & Data,33,1988,1988,1997,2014,2013,2006,2021,14.58,59
74,Recommender Evaluation & Music,Recommender Systems,257,1982,2008,2001,2018,2018,2013,2022,30.97,65
75,News & Session-based Recommendation,Recommender Systems,203,2000,2009,2009,2020,2018,2014,2021,23.57,62
76,"Diversity, Novelty & Bias in Recommendation",Recommender Systems,193,2007,2011,2009,2025,2021,2017,2024,31.84,58
77,Deep Learning for Recommendation,Recommender Systems,190,2010,2016,2013,2023,2023,2020,2024,26.62,53
78,Sequential Recommendation & Evaluation,Recommender Systems,183,2010,2017,2011,2025,2023,2020,2024,36.85,56
79,Factorization & Context-aware Recommendation,Recommender Systems,176,2007,2009,2008,2017,2017,2013,2020,19.84,54
80,Knowledge-aware & LLM Recommendation,Recommender Systems,173,2007,2019,2011,2024,2024,2021,2025,32.47,66
81,Collaborative Filtering & Trust,Recommender Systems,170,1993,1996,1996,2007,2011,2007,2015,14.86,54
82,Collaborative Filtering Methods,Recommender Systems,138,2007,2008,2008,2013,2015,2013,2019,21.57,56
83,Recommender Explanations & Critiquing,Recommender Systems,136,1992,2005,1997,2021,2018,2009,2022,30.42,65
84,Social Tagging & Group Recommendation,Recommender Systems,542,1998,2006,2005,2017,2019,2014,2023,26.43,65
85,Visual Aesthetics & UX,Gamification & Engagement,272,1982,1997,1997,2013,2013,2007,2018,26.8,62
86,Player Experience & Immersion,Gamification & Engagement,187,1998,2013,2009,2015,2019,2016,2022,37.07,64
87,Multiplayer & Location-based Games,Gamification & Engagement,152,2004,2010,2007,2021,2020,2014,2023,41.49,64
88,Gamification Elements & User Types,Gamification & Engagement,119,1982,2015,2008,2018,2020,2017,2022,38.91,60
89,Video Game Players & Communities,Gamification & Engagement,602,1981,1981,1986,2021,2018,2014,2022,35.05,64
90,Automated Driving,Mobile Life & Sensing,682,2001,2004,2006,2021,2018,2014,2021,33.45,65
91,Email & Web Revisitation,Mobile Life & Sensing,338,1983,1991,1986,2009,2007,2001,2012,24.58,60
92,Instant Messaging,Mobile Life & Sensing,335,1986,1986,1986,2002,2008,2002,2016,27.26,63
93,Notifications & Interruptibility,Mobile Life & Sensing,319,1996,2001,2002,2019,2017,2013,2021,40.27,66
94,Urban Mobility Prediction,Mobile Life & Sensing,286,1995,2009,2006,2018,2016,2014,2019,34.29,63
95,Pupillometry & Cognitive Load,Mobile Life & Sensing,258,2002,2010,2006,2018,2019,2015,2022,36.32,60
96,Enterprise Social Networks,Mobile Life & Sensing,214,1994,1996,1997,2009,2009,2005,2014,26.4,63
97,Physiological & Brain Sensing,Mobile Life & Sensing,188,1992,2007,2001,2012,2015,2012,2020,30.8,61
98,Interruptions & Multitasking,Mobile Life & Sensing,179,1990,2008,2001,2015,2017,2012,2022,39.31,65
99,Vehicle-Pedestrian Communication,Mobile Life & Sensing,178,1990,2017,1992,2020,2021,2020,2024,42.87,64
100,Smartphone Use & Wellbeing,Mobile Life & Sensing,149,2007,2015,2012,2024,2022,2018,2024,48.01,65
101,Mobile Language Learning,Mobile Life & Sensing,138,2000,2000,2001,2024,2013,2008,2020,32.16,66
102,Eye Movements & Cognition,Mobile Life & Sensing,63,1983,1994,1992,2008,2008,1997,2014,13.19,54
103,Affect Recognition,Affect & Multimodal Recognition,608,1982,1989,1991,2016,2016,2011,2020,8.85,52
104,RF & Wi-Fi Sensing,Activity Sensing & Wearables,199,2014,2015,2016,2025,2022,2019,2024,47.71,62
105,Wearable Activity Recognition,Activity Sensing & Wearables,148,2009,2016,2012,2025,2022,2019,2024,45.84,64
106,Activity & Ambient Sensing,Activity Sensing & Wearables,578,2002,2003,2005,2025,2019,2014,2023,35.02,67
107,Real-time Rendering & Meshes,"Graphics, Animation & Modelling",281,1977,1984,1983,2003,2001,1996,2008,16.4,49
108,Character Animation & Motion Control,"Graphics, Animation & Modelling",268,1985,1987,1988,2007,2010,2003,2018,26.14,57
109,Sketch-based Modelling,"Graphics, Animation & Modelling",256,1981,1994,1986,2021,2015,2008,2021,31.85,64
110,Reflectance & Illumination,"Graphics, Animation & Modelling",235,1977,1992,1980,2017,2012,2003,2017,23.32,57
111,Near-eye & Foveated Displays,"Graphics, Animation & Modelling",209,1981,1998,1986,2016,2016,2011,2021,27.05,60
112,Texture & Image Synthesis,"Graphics, Animation & Modelling",199,1978,1988,1984,2013,2007,1999,2014,20.46,57
113,Procedural Shape Modelling,"Graphics, Animation & Modelling",185,1984,2005,1989,2015,2014,2009,2018,29.74,57
114,Facial Animation & Capture,"Graphics, Animation & Modelling",177,1981,1998,1995,2017,2017,2013,2021,33.92,62
115,Image-based Rendering & Light Fields,"Graphics, Animation & Modelling",171,1980,1994,1995,1997,2009,2000,2018,25.09,57
116,3D Reconstruction & Motion Capture,"Graphics, Animation & Modelling",171,1992,2011,2001,2025,2018,2014,2023,34.96,63
117,Gesture Generation & Simulation,"Graphics, Animation & Modelling",368,1976,1977,1980,2022,2013,2001,2020,21.62,64
118,Public & Ambient Displays,3D Pointing & VR Interaction,962,1982,1994,1997,2014,2013,2009,2016,32.05,63
119,Telepresence & Remote Collaboration,3D Pointing & VR Interaction,780,1986,1990,1996,2025,2018,2012,2023,37.09,66
120,Real-time Groupware,3D Pointing & VR Interaction,704,1982,1984,1986,1997,2001,1996,2010,18.73,62
121,VR Locomotion,3D Pointing & VR Interaction,598,1983,1995,1998,2019,2019,2016,2023,35.42,64
122,AR Authoring & Prototyping,3D Pointing & VR Interaction,515,1987,1996,1998,2025,2021,2016,2024,40.3,66
123,VR Presence & Avatars,3D Pointing & VR Interaction,463,1996,2008,2005,2024,2021,2018,2024,36.59,63
124,Avatars & Social VR,3D Pointing & VR Interaction,420,1995,2005,2005,2025,2022,2018,2024,41.22,65
125,Immersive Mixed Reality,3D Pointing & VR Interaction,369,1991,2005,2000,2023,2021,2015,2023,38.91,65
126,Asymmetric Mixed Reality,3D Pointing & VR Interaction,283,1993,2012,1998,2025,2020,2016,2024,39.63,64
127,AR Depth Perception,3D Pointing & VR Interaction,217,1992,1994,1994,2014,2013,2006,2019,24.04,59
128,In-car & Video AR,3D Pointing & VR Interaction,180,2000,2011,2005,2019,2018,2015,2022,32.46,62
129,Neural Scene Reconstruction,3D Pointing & VR Interaction,63,2005,2014,2009,2024,2017,2015,2024,34.14,59
130,Haptics & Touch Feedback (haptic),Haptics & Touch Feedback,365,1994,2006,2001,2019,2017,2012,2021,35.48,68
131,Force Feedback Devices,Haptics & Touch Feedback,336,2002,2009,2007,2019,2020,2017,2023,41.64,68
132,Vibrotactile Feedback,Haptics & Touch Feedback,315,1997,2004,2004,2018,2018,2013,2021,38.14,62
133,Affective & Social Touch,Haptics & Touch Feedback,194,1998,2011,2006,2022,2020,2015,2023,38.45,65
134,Haptic Redirection in VR,Haptics & Touch Feedback,192,2001,2015,2006,2025,2021,2018,2024,43.69,64
135,Mid-air Ultrasound Haptics,Haptics & Touch Feedback,190,2007,2012,2010,2023,2020,2017,2023,45.31,63
136,Electrical Muscle Stimulation,Haptics & Touch Feedback,151,1999,2015,2007,2024,2019,2016,2024,40.7,63
137,Thermal & Olfactory Displays,Haptics & Touch Feedback,147,2006,2014,2009,2024,2021,2017,2024,38.2,65
138,Tactile Texture Rendering,Haptics & Touch Feedback,127,2003,2013,2006,2025,2020,2015,2023,39.76,63
139,Haptic Rendering & Olfaction,Haptics & Touch Feedback,251,1990,1994,1996,2017,2017,2010,2021,28.2,64
140,Tangibles for Learning,Tangible Interaction & Fabrication,1361,1982,1994,1998,2010,2013,2009,2018,29.87,65
141,Shape-changing Interfaces,Tangible Interaction & Fabrication,656,1991,2003,2005,2025,2019,2015,2023,41.57,66
142,Textiles & Cloth Simulation,Tangible Interaction & Fabrication,567,1998,2003,2006,2024,2020,2015,2023,41.47,68
143,Tangible & Tabletop Sensing,Tangible Interaction & Fabrication,424,1983,2001,1999,2010,2013,2010,2017,33.5,62
144,Digital Fabrication,Tangible Interaction & Fabrication,383,1996,2009,2004,2024,2020,2016,2023,43.95,67
145,"Knitting, Cloth & Printed Objects",Tangible Interaction & Fabrication,356,1987,2010,2000,2025,2020,2015,2023,42.78,67
146,Computational Fabrication,Tangible Interaction & Fabrication,335,1997,2011,2009,2018,2018,2016,2022,41.3,65
147,Paper Circuits & Electronics Prototyping,Tangible Interaction & Fabrication,232,1986,2006,2002,2010,2016,2011,2020,37.34,63
148,Deformable Surfaces & Projection Mapping,Tangible Interaction & Fabrication,149,1992,2008,2004,2017,2015,2011,2019,33.44,67
149,Battery-free & Wireless Devices,Tangible Interaction & Fabrication,113,2001,2016,2006,2022,2020,2014,2023,38.35,65
150,Gaze-based Interaction,Sensing & Input Techniques,1357,1980,1994,1999,2018,2018,2012,2022,33.99,66
151,Hand Sensing & Input,Sensing & Input Techniques,1000,1986,2001,2003,2024,2019,2015,2023,43.12,65
152,Task Models & UI Engineering,Sensing & Input Techniques,625,1979,1979,1982,1989,1999,1990,2012,16.2,63
153,Information Navigation,Sensing & Input Techniques,618,1975,1986,1988,2008,2005,1998,2011,21.67,62
154,Pointing & Target Selection,Sensing & Input Techniques,583,1983,1995,1992,2011,2015,2010,2021,36.23,62
155,Gesture Elicitation & Recognition,Sensing & Input Techniques,460,1985,1994,1995,2013,2015,2012,2019,34.9,62
156,Text Entry,Sensing & Input Techniques,459,1982,1996,1998,2019,2017,2011,2021,36.37,66
157,Pen & Bimanual Input,Sensing & Input Techniques,370,1983,1990,1990,2012,2010,2002,2015,28.34,62
158,Touch & Multi-touch Input,Sensing & Input Techniques,352,1978,1997,1998,2014,2014,2010,2018,36.69,63
159,Scanpaths & Visual Search,Sensing & Input Techniques,225,1991,2010,2000,2025,2019,2014,2024,27.99,59
160,Menus & Command Selection,Sensing & Input Techniques,199,1982,1986,1983,2013,2012,2005,2018,27.94,60
161,Authentication & Biometrics,Sensing & Input Techniques,177,2002,2012,2009,2025,2020,2016,2024,39.69,62
162,Multimodal Fusion Architectures,Sensing & Input Techniques,149,1981,2001,1997,2006,2007,2004,2011,19.88,61
163,Latency & Input Quality,Sensing & Input Techniques,146,1986,2000,1995,2014,2014,2007,2019,30.09,64
