sub,name,band,papers,first,last,span,peak,share_last5,same_sub_share_all
66,Social Robots in the Field,Robots & Conversational Agents,351,1988,2026,38,2022,0.302,0.502
67,Voice Assistants for Older Adults,Robots & Conversational Agents,310,1983,2026,43,2025,0.5,0.418
68,Automated Driving Interfaces,Robots & Conversational Agents,260,2001,2026,25,2020,0.442,0.566
69,Virtual Agents & Social Effects,Robots & Conversational Agents,229,1990,2026,36,2005,0.179,0.569
70,Chatbot Companions,Robots & Conversational Agents,219,1983,2026,43,2025,0.635,0.345
71,Drones & Flying Robots,Robots & Conversational Agents,130,1997,2026,29,2019,0.3,0.432
72,Robot Presence & Embodiment,Robots & Conversational Agents,214,1982,2026,44,2024,0.29,0.417
73,Human-AI Trust & Explanation,"AI, Data & Intelligent Interfaces",1120,1983,2026,43,2025,0.643,0.593
74,Crowdsourcing & Peer Feedback,"AI, Data & Intelligent Interfaces",623,1983,2026,43,2017,0.17,0.562
75,"LLMs, Writing & Prompting","AI, Data & Intelligent Interfaces",552,1982,2026,44,2025,0.844,0.414
76,Search & Recommendation,"AI, Data & Intelligent Interfaces",536,1982,2026,44,2011,0.155,0.506
77,Creativity Support & Generative Tools,"AI, Data & Intelligent Interfaces",531,1990,2026,36,2025,0.648,0.448
78,Data Visualization,"AI, Data & Intelligent Interfaces",486,1986,2026,40,2025,0.358,0.57
79,Video Interfaces & Editing,"AI, Data & Intelligent Interfaces",412,1982,2026,44,2012,0.199,0.56
80,GUI Datasets & Automation,"AI, Data & Intelligent Interfaces",371,1982,2026,44,2021,0.226,0.551
81,Programming & Notebooks,"AI, Data & Intelligent Interfaces",359,1982,2026,44,2023,0.44,0.47
82,Meetings & Multilingual Communication,"AI, Data & Intelligent Interfaces",295,1990,2026,36,2025,0.302,0.392
83,Interactive Machine Learning,"AI, Data & Intelligent Interfaces",163,1997,2026,29,2021,0.313,0.402
84,AI-generated Personas,"AI, Data & Intelligent Interfaces",67,1998,2026,28,2025,0.463,0.548
85,Awareness & Workplace Chat,Mobile Life & Sensing,330,1986,2026,40,2002,0.021,0.568
86,Urban Mobility Prediction,Mobile Life & Sensing,262,1995,2026,31,2018,0.076,0.65
87,Physiological & Brain Sensing,Mobile Life & Sensing,229,1992,2026,34,2020,0.24,0.518
88,Email & Web Revisitation,Mobile Life & Sensing,210,1983,2026,43,2010,0.048,0.59
89,Interruptions & Multitasking,Mobile Life & Sensing,203,1986,2026,40,2016,0.266,0.447
90,Notifications & Interruptibility,Mobile Life & Sensing,185,2000,2026,26,2017,0.259,0.528
91,Mobile Sensing for Mental Health,Mobile Life & Sensing,172,2002,2026,24,2024,0.419,0.554
92,Collaborative Filtering & Browsing,Mobile Life & Sensing,158,1986,2026,40,2000,0.019,0.524
93,Smartphone Use & Wellbeing,Mobile Life & Sensing,126,2007,2026,19,2023,0.603,0.471
94,Experience Sampling,Mobile Life & Sensing,124,1996,2026,30,2015,0.161,0.325
95,Ambient Displays & Language Learning,Mobile Life & Sensing,174,1982,2026,44,2017,0.155,0.362
96,Data Privacy & Permissions,Privacy & Security,168,2001,2026,25,2024,0.423,0.477
97,Authentication & Passwords,Privacy & Security,164,2003,2026,23,2015,0.207,0.615
98,Smart-home Privacy,Privacy & Security,154,2002,2026,24,2024,0.519,0.445
99,Phishing & Security Behaviour,Privacy & Security,132,1999,2026,27,2019,0.341,0.559
100,Dark Patterns,Privacy & Security,353,1983,2026,43,2025,0.476,0.453
101,Design Research & Art,Design Research & Practice,490,1986,2026,40,2024,0.367,0.401
102,"Body, Movement & Soma Design",Design Research & Practice,353,1976,2026,50,2024,0.428,0.433
103,HCI Research Practice,Design Research & Practice,332,1982,2026,44,2000,0.139,0.432
104,Design Fiction & Ethics,Design Research & Practice,292,1992,2026,34,2023,0.408,0.333
105,Memory & Reminiscence,Design Research & Practice,294,1999,2026,27,2010,0.238,0.509
106,Museums & Cultural Heritage,Design Research & Practice,288,1981,2026,45,2014,0.174,0.337
107,Bodily Play & Exertion,Design Research & Practice,288,1981,2026,45,2019,0.212,0.452
108,More-than-Human Design,Design Research & Practice,286,1996,2026,30,2024,0.65,0.342
109,Family Communication at Home,Design Research & Practice,234,1998,2026,28,2010,0.209,0.451
110,Biofeedback & Mindfulness,Design Research & Practice,231,1992,2026,34,2026,0.45,0.4
111,Human-Food Interaction,Design Research & Practice,144,2000,2026,26,2020,0.361,0.459
112,Animal-Computer Interaction,Design Research & Practice,64,1997,2026,29,2016,0.281,0.663
113,Personal Informatics,"Health, Care & Ageing",583,1999,2026,27,2025,0.389,0.527
114,Older Adults & Dementia Care,"Health, Care & Ageing",383,2002,2026,24,2025,0.428,0.478
115,Chronic Care & Caregiving,"Health, Care & Ageing",374,1996,2026,30,2024,0.396,0.422
116,Mental Health Interventions,"Health, Care & Ageing",227,2009,2026,17,2025,0.573,0.277
117,Women's Health & Menstrual Tracking,"Health, Care & Ageing",168,2010,2026,16,2024,0.601,0.407
118,Family Health Informatics,"Health, Care & Ageing",157,1996,2026,30,2025,0.446,0.292
119,Hospital Work & Records,"Health, Care & Ageing",124,1988,2026,38,2021,0.194,0.496
120,Stroke Rehabilitation & Eating,"Health, Care & Ageing",105,2002,2026,24,2019,0.314,0.363
121,Social Media & Privacy,Social Media & Online Communities,822,1996,2026,30,2021,0.281,0.538
122,Sustainable HCI,Social Media & Online Communities,685,1982,2026,44,2018,0.283,0.538
123,Content Moderation,Social Media & Online Communities,605,1997,2026,29,2025,0.631,0.497
124,Open Collaboration Online,Social Media & Online Communities,556,1986,2026,40,2012,0.133,0.534
125,Participatory & Community Design,Social Media & Online Communities,554,1982,2026,44,2025,0.552,0.416
126,Misinformation & News,Social Media & Online Communities,528,2000,2026,26,2025,0.415,0.544
127,Feminist HCI & Global Contexts,Social Media & Online Communities,472,1997,2026,29,2022,0.422,0.409
128,Youth & Online Media,Social Media & Online Communities,287,1996,2026,30,2025,0.432,0.487
129,Makerspaces & Hackathons,Social Media & Online Communities,253,1986,2026,40,2025,0.324,0.417
130,Gig Work & Labour,Social Media & Online Communities,247,1996,2026,30,2025,0.543,0.443
131,Live Streaming,Social Media & Online Communities,186,1992,2026,34,2021,0.387,0.443
132,Trans & Gender Representation,Social Media & Online Communities,122,2007,2026,19,2025,0.533,0.31
133,Cryptocurrency & Trust,Social Media & Online Communities,76,2004,2026,22,2019,0.316,0.41
